wb-break-all,wb-break-all href,Label,f6,Link--muted,Link--muted href,ml-0,no-wrap,Link--inTextBlock href,text-right href,col-9,mr-3,blankslate-heading 3,color-fg-muted 3,Link--inTextBlock 3,Link--inTextBlock href 3
lead-agent,https://github.com/own-boldsbrain/lead-agent,Public,Forked from,vercel-labs/lead-agent,https://github.com/vercel-labs/lead-agent,TypeScript,"Oct 18, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],,,,,,
mastra,https://github.com/own-boldsbrain/mastra,Public,Forked from,mastra-ai/mastra,https://github.com/mastra-ai/mastra,TypeScript,"Oct 17, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"The TypeScript AI agent framework. ⚡ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.",Other,,,,
openai-apps-sdk-examples,https://github.com/own-boldsbrain/openai-apps-sdk-examples,Public,Forked from,openai/openai-apps-sdk-examples,https://github.com/openai/openai-apps-sdk-examples,JavaScript,"Oct 17, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Example apps for the Apps SDK,MIT License,,,,
ysh-b2b,https://github.com/own-boldsbrain/ysh-b2b,Public,Forked from,medusajs/b2b-starter-medusa,https://github.com/medusajs/b2b-starter-medusa,TypeScript,"Oct 17, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],YSH B2B. Features common B2B ecommerce requirements.,MIT License,,,,
fragments,https://github.com/own-boldsbrain/fragments,Public,Forked from,e2b-dev/fragments,https://github.com/e2b-dev/fragments,TypeScript,"Oct 17, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Open-source Next.js template for building apps that are fully generated by AI. By E2B.,Apache License 2.0,,,,
chatkit-js,https://github.com/own-boldsbrain/chatkit-js,Public,Forked from,openai/chatkit-js,https://github.com/openai/chatkit-js,TypeScript,"Oct 16, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],,Apache License 2.0,,,,
openai-chatkit-advanced-samples,https://github.com/own-boldsbrain/openai-chatkit-advanced-samples,Public,Forked from,openai/openai-chatkit-advanced-samples,https://github.com/openai/openai-chatkit-advanced-samples,Python,"Oct 15, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Starter app to build with OpenAI ChatKit SDK,Other,,,,
scrcpy,https://github.com/own-boldsbrain/scrcpy,Public,Forked from,Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,C,"Oct 14, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Display and control your Android device,Apache License 2.0,,,,
nextjs-starter-medusa,https://github.com/own-boldsbrain/nextjs-starter-medusa,Public template,Forked from,medusajs/nextjs-starter-medusa,https://github.com/medusajs/nextjs-starter-medusa,JavaScript,"Oct 7, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],A performant frontend ecommerce starter template with Next.js 15 and Medusa V2.,MIT License,,,,
docfork-mcp,https://github.com/own-boldsbrain/docfork-mcp,Public,Forked from,docfork/docfork-mcp,https://github.com/docfork/docfork-mcp,TypeScript,"Oct 5, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"Up-to-date documentation to 9,000+ libraries for devs and AI agents.",MIT License,,,,
openai-agents-js,https://github.com/own-boldsbrain/openai-agents-js,Public,Forked from,openai/openai-agents-js,https://github.com/openai/openai-agents-js,TypeScript,"Oct 2, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"A lightweight, powerful framework for multi-agent workflows and voice agents",MIT License,,,,
chrome-devtools-mcp,https://github.com/own-boldsbrain/chrome-devtools-mcp,Public,Forked from,ChromeDevTools/chrome-devtools-mcp,https://github.com/ChromeDevTools/chrome-devtools-mcp,TypeScript,"Oct 2, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Chrome DevTools for coding agents,Apache License 2.0,,,,
openai-agents-python,https://github.com/own-boldsbrain/openai-agents-python,Public,Forked from,openai/openai-agents-python,https://github.com/openai/openai-agents-python,Python,"Oct 2, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"A lightweight, powerful framework for multi-agent workflows",MIT License,,,,
awesome-copilot,https://github.com/own-boldsbrain/awesome-copilot,Public,Forked from,github/awesome-copilot,https://github.com/github/awesome-copilot,JavaScript,"Oct 2, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"Community-contributed instructions, prompts, and configurations to help you make the most of GitHub Copilot.",MIT License,,,,
codex-action,https://github.com/own-boldsbrain/codex-action,Public,Forked from,openai/codex-action,https://github.com/openai/codex-action,TypeScript,"Oct 1, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],,Apache License 2.0,,,,
dev3000,https://github.com/own-boldsbrain/dev3000,Public,Forked from,vercel-labs/dev3000,https://github.com/vercel-labs/dev3000,TypeScript,"Sep 30, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"Captures your web app's complete development timeline - server logs, browser events, console messages, network requests, and automatic screenshots - in a unified, timestamped feed for AI debugging.",MIT License,,,,
ysh-commerce,https://github.com/own-boldsbrain/ysh-commerce,Public,Forked from,medusajs/medusa,https://github.com/medusajs/medusa,TypeScript,"Sep 27, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],The world's most flexible commerce platform.,MIT License,,,,
actor-playwright-mcp,https://github.com/own-boldsbrain/actor-playwright-mcp,Public,Forked from,apify/actor-playwright-mcp,https://github.com/apify/actor-playwright-mcp,TypeScript,"Sep 26, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],Actor Playwright MCP server,Apache License 2.0,,,,
ui,https://github.com/own-boldsbrain/ui,Public,Forked from,shadcn-ui/ui,https://github.com/shadcn-ui/ui,TypeScript,"Sep 25, 2025",https://github.com/own-boldsbrain?tab=repositories,[object Object],"A set of beautifully-designed, accessible components and a code distribution platform. Works with your favorite frameworks. Open Source. Open Code.",MIT License,,,,
ysh-modules,https://github.com/own-boldsbrain/ysh-modules,Public,Forked from,medusajs/examples,https://github.com/medusajs/examples,TypeScript,"Sep 24, 2025",https://github.com/own-boldsbrain?page=2&tab=repositories,[object Object],All YSH modules.,,,,,
autonomous-browser,https://github.com/own-boldsbrain/autonomous-browser,Public template,Forked from,restackio/autonomous-browser,https://github.com/restackio/autonomous-browser,TypeScript,"Sep 24, 2025",https://github.com/own-boldsbrain?page=2&tab=repositories,[object Object],Example autonomous project that searches HN create todos,,,,,
