"/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative.photoshow__thumbnail--viewed/div.image-inner.position-relative.overflow-hidden/a.d-block href","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative.photoshow__thumbnail--viewed/div.image-inner.position-relative.overflow-hidden/a.d-block/image-srcset.res-image/img.lazyShow.res-img-loaded src","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-image.position-relative.photoshow__thumbnail--viewed/div.image-inner.position-relative.overflow-hidden/a.d-block/image-srcset.res-image/img.hongo-alternate-image.lazyShow.res-img-loaded src","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/a.product-title.alt-font","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/a.product-title.alt-font href","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/div.price-box.justify-content-center.alt-font/div.price-wrapper/div.price__pix/span.price-item.price-item--regular","/div.col.product-box.tablescraper-selected-row/div.box-inner/div.product-footer/div.price-box.justify-content-center.alt-font/div.price-wrapper/div.price__pix/small.pix-label"
"https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-microinversor-saj-2-25kw-220v-4mppt","https://www.meugerador.com.br/cdn/shop/files/Kit_Energia_Solar_Ongrid_Painel_Sunova_620W_black_MicroInversor_Saj_2_25kw.png?v=1758821810&width=535","https://www.meugerador.com.br/cdn/shop/files/fa6951cb6d129981aef93960bced186c_fb0eb852-7916-4ff7-b65b-5bb5989a655f.png?v=1758804412&width=535","Kit Energia Solar Ongrid 250kWh Mês 1,86kWp 3 Painel Sunova 620W MicroInversor SAJ 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-microinversor-saj-2-25kw-220v-4mppt","R$ 3.323,29","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-microinversor-deye-2-25kw-220v-4mppt","https://www.meugerador.com.br/cdn/shop/files/Kit_Energia_Solar_Ongrid_Painel_Sunova_620W_black_MicroInversor_Deye_2_25kw.png?v=1758749938&width=535","https://www.meugerador.com.br/cdn/shop/files/MICROINVERSOR_SOLAR_DEYE_2_25KW_TRASEIRA.png?v=1758747310&width=535","Kit Energia Solar Ongrid 250kWh Mês 1,86kWp 3 Painel Sunova 620W MicroInversor Deye 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-microinversor-deye-2-25kw-220v-4mppt","R$ 3.403,19","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-micro-growatt-2-25kw-220v-4mppt","https://www.meugerador.com.br/cdn/shop/files/Kit_Energia_Solar_Ongrid_Painel_Sunova_620W_black_MicroInversor_Growatt_2_25kw.png?v=1758662894&width=535","https://www.meugerador.com.br/cdn/shop/files/MICROINVERSOR_SOLAR_GROWATT_2_25KW_X2_FUNDO_TRASEIRA_TRANSPARENTE.png?v=1758712379&width=535","Kit Energia Solar Ongrid 250kWh Mês 1,86kWp 3 Painel Sunova 620W Micro Growatt 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-micro-growatt-2-25kw-220v-4mppt","R$ 3.438,53","À vista no PIX com 15% OFF"
"https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","https://www.meugerador.com.br/cdn/shop/files/Kit_Energia_Solar_Ongrid_Painel_Sunova_620W_black_Inversor_Growatt_MIC_X2_0347992b-b9e0-4b5e-8e6c-d4feb36c4ad0.png?v=1758908123&width=535","https://www.meugerador.com.br/cdn/shop/files/INVERSOR_SOLAR_ONGRID_GROWATT_MIN_5-6KW_X2_V2.png?v=1758906312&width=535","Kit Energia Solar Ongrid 250kWh Mês 1,86kWp 3 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-250kwh-mes-1-86kwp-3-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 3.950,88","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 300kWh Mês 2,48kWp 4 Painel Sunova 620W MicroInversor SAJ 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-300kwh-mes-2-48kwp-4-painel-sunova-620w-microinversor-saj-2-25kw-220v-4mppt","R$ 3.978,03","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 300kWh Mês 2,48kWp 4 Painel Sunova 620W MicroInversor Deye 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-300kwh-mes-2-48kwp-4-painel-sunova-620w-microinversor-deye-2-25kw-220v-4mppt","R$ 4.057,92","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 300kWh Mês 2,48kWp 4 Painel Sunova 620W Micro Growatt 2,25kW 220V 4MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-300kwh-mes-2-48kwp-4-painel-sunova-620w-micro-growatt-2-25kw-220v-4mppt","R$ 4.093,27","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 300kWh Mês 2,48kWp 4 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-300kwh-mes-2-48kwp-4-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 4.583,24","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 400kWh Mês 3,10kWp 5 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-400kwh-mes-3-10kwp-5-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 4.803,85","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 300kWh Mês 2,48kWp 4 Painel Sunova 620W Inversor Sungrow 3kW 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-300kwh-mes-2-48kwp-4-painel-sunova-620w-inversor-sungrow-3kw-220v-1mppt","R$ 4.820,31","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 400kWh Mês 3,10kWp 5 Painel Sunova 620W Inversor Sungrow 3kW 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-400kwh-mes-3-10kwp-5-painel-sunova-620w-inversor-sungrow-3kw-220v-1mppt","R$ 5.402,74","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 5.540,19","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 400kWh Mês 3,10kWp 5 Painel Sunova 620W MicroInversor SAJ 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-400kwh-mes-3-10kwp-5-painel-sunova-620w-microinversor-saj-4-5kw-220v-8mppt","R$ 5.878,21","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 5.968,73","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 400kWh Mês 3,10kWp 5 Painel Sunova 620W MicroInversor Deye 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-400kwh-mes-3-10kwp-5-painel-sunova-620w-microinversor-deye-4-5kw-220v-8mppt","R$ 6.038,00","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 400kWh Mês 3,10kWp 5 Painel Sunova 620W Micro Growatt 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-400kwh-mes-3-10kwp-5-painel-sunova-620w-micro-growatt-4-5kw-220v-8mppt","R$ 6.108,70","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W Inversor Sungrow 3kW 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-inversor-sungrow-3kw-220v-1mppt","R$ 6.498,21","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W MicroInversor SAJ 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-microinversor-saj-4-5kw-220v-8mppt","R$ 6.532,95","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 600kWh Mês 4,96kWp 8 Painel Sunova 620W Inversor Growatt 3kW X2 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-600kwh-mes-4-96kwp-8-painel-sunova-620w-inversor-growatt-3kw-x2-220v-1mppt","R$ 6.551,18","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W Inversor Sungrow 3kW 220 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-inversor-sungrow-3kw-220-1mppt","R$ 6.567,64","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W MicroInversor SAJ 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-microinversor-saj-4-5kw-220v-8mppt","R$ 6.620,23","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W MicroInversor Deye 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-microinversor-deye-4-5kw-220v-8mppt","R$ 6.692,74","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W Inversor Livoltek 3,3kW 220V 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-inversor-livoltek-3-3kw-220v-1mppt","R$ 6.712,81","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W Inversor Growatt 5kW X2 220V 2MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-inversor-growatt-5kw-x2-220v-2mppt","R$ 6.752,39","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 500kWh Mês 3,72kWp 6 Painel Sunova 620W Micro Growatt 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-500kwh-mes-3-72kwp-6-painel-sunova-620w-micro-growatt-4-5kw-220v-8mppt","R$ 6.763,43","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W Inversor Livoltek 3,3kW 220 1MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-inversor-livoltek-3-3kw-220-1mppt","R$ 6.765,29","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W MicroInversor Deye 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-microinversor-deye-4-5kw-220v-8mppt","R$ 6.767,40","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 550kWh Mês 4,34kWp 7 Painel Sunova 620W Micro Growatt 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-550kwh-mes-4-34kwp-7-painel-sunova-620w-micro-growatt-4-5kw-220v-8mppt","R$ 6.832,52","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 600kWh Mês 4,96kWp 8 Painel Sunova 620W Inversor SAJ 6kW 220V 2MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-600kwh-mes-4-96kwp-8-painel-sunova-620w-inversor-saj-6kw-220v-1mppt","R$ 7.205,09","À vista no PIX com 15% OFF"
"","","","Kit Energia Solar Ongrid 600kWh Mês 4,96kWp 8 Painel Sunova 620W MicroInversor SAJ 4,5kW 220V 8MPPT","https://www.meugerador.com.br/collections/kits-solar-ongrid/products/kit-energia-solar-ongrid-600kwh-mes-4-96kwp-8-painel-sunova-620w-microinversor-saj-4-5kw-220v-8mppt","R$ 7.223,27","À vista no PIX com 15% OFF"
