sku,manufacturer,model,title,category,image_url,price_brl,power_w,capacity_w,capacity_kwh,voltage_v,weight_kg,warranty_years,in_stock,has_complete_data,source_file
"IMAGE","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/image.png",,,,,,,,,false,""
"IMAGEPRODUCT450083","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450083.png",,,,,,,,,false,""
"IMAGEPRODUCT450094","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450094.png",,,,,,,,,false,""
"IMAGEPRODUCT450114","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450114.png",,,,,,,,,false,""
"IMAGEPRODUCT450118","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450118.jpg",,,,,,,,,false,""
"IMAGEPRODUCT450123","unknown","","","acessorios","https://cdn.yellosolarhub.com/products/acessorios/IMAGE_PRODUCT_450123.png",,,,,,,,,false,""
"IMAGEPRODUCT000607","unknown","","","baterias","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000607.jpg",,,,,,,,,false,""
"IMAGEPRODUCT000612","unknown","","","baterias","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_000612.jpg",,,,,,,,,false,""
"IMAGEPRODUCT850004","unknown","","","baterias","https://cdn.yellosolarhub.com/products/baterias/IMAGE_PRODUCT_850004.png",,,,,,,,,false,""
"PAINELBYDBYD530WMLK36530W","unknown","","","BYD","https://cdn.yellosolarhub.com/products/BYD/PAINEL-BYD-BYD-530W-MLK-36---530W.png",,,,,,,,,false,""
"IMAGEPRODUCT052113","unknown","","","cabos","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052113.png",,,,,,,,,false,""
"IMAGEPRODUCT052115","unknown","","","cabos","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052115.jpg",,,,,,,,,false,""
"IMAGEPRODUCT052117","unknown","","","cabos","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052117.jpg",,,,,,,,,false,""
"IMAGEPRODUCT052118","unknown","","","cabos","https://cdn.yellosolarhub.com/products/cabos/IMAGE_PRODUCT_052118.png",,,,,,,,,false,""
