sku,category,manufacturer,power_w,capacity_kwh,price_brl,list_price_brl,cost_price_brl,supplier,source,confidence,image_url
"FOTUSKP021704KWPCERAMICOKITS","kits","",1704000,,7670500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg"
"FOTUSKP021704KWPFIBROCIMENTOKITS","kits","",1704000,,7670500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg"
"FOTUSKP021704KWPMINITRILHOKITS","kits","",1704000,,7670500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg"
"FOTUSKP041596KWPCERAMICOKITS","kits","",1596000,,7184500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg"
"FOTUSKP041596KWPFIBROCIMENTOKITS","kits","",1596000,,7184500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg"
"FOTUSKP041596KWPMINITRILHOKITS","kits","",1596000,,7184500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg"
"FOTUSKP041482KWPCERAMICOKITS","kits","",1482000,,6671500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg"
"FOTUSKP041482KWPFIBROCIMENTOKITS","kits","",1482000,,6671500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg"
"FOTUSKP041482KWPMINITRILHOKITS","kits","",1482000,,6671500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg"
"FOTUSKP041368KWPCERAMICOKITS","kits","",1368000,,6158500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg"
"FOTUSKP041368KWPFIBROCIMENTOKITS","kits","",1368000,,6158500,,,"Estimated","estimated",0.4,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Fibrocimento-kits.jpg"
