sku,has_images,image_count,primary_url,all_urls,categories,total_size_bytes,formats
"112369",true,1,"https://cdn.yellosolarhub.com/products/inversores/112369.jpg","https://cdn.yellosolarhub.com/products/inversores/112369.jpg","inversores",42129,"jpg"
"124358",true,1,"https://cdn.yellosolarhub.com/products/estruturas/124358.jpg","https://cdn.yellosolarhub.com/products/estruturas/124358.jpg","estruturas",224554,"jpg"
"135720",true,1,"https://cdn.yellosolarhub.com/products/inversores/135720.jpg","https://cdn.yellosolarhub.com/products/inversores/135720.jpg","inversores",64780,"jpg"
"145763",true,1,"https://cdn.yellosolarhub.com/products/inversores/145763.jpg","https://cdn.yellosolarhub.com/products/inversores/145763.jpg","inversores",71099,"jpg"
"152147",true,1,"https://cdn.yellosolarhub.com/products/inversores/152147.jpg","https://cdn.yellosolarhub.com/products/inversores/152147.jpg","inversores",30617,"jpg"
"192068",true,1,"https://cdn.yellosolarhub.com/products/stringboxes/192068.jpg","https://cdn.yellosolarhub.com/products/stringboxes/192068.jpg","stringboxes",65217,"jpg"
"192575",true,1,"https://cdn.yellosolarhub.com/products/inversores/192575.jpg","https://cdn.yellosolarhub.com/products/inversores/192575.jpg","inversores",46560,"jpg"
"192576",true,1,"https://cdn.yellosolarhub.com/products/inversores/192576.jpg","https://cdn.yellosolarhub.com/products/inversores/192576.jpg","inversores",47271,"jpg"
"215563",true,1,"https://cdn.yellosolarhub.com/products/paineis/215563.jpg","https://cdn.yellosolarhub.com/products/paineis/215563.jpg","paineis",154824,"jpg"
"222132",true,1,"https://cdn.yellosolarhub.com/products/inversores/222132.png","https://cdn.yellosolarhub.com/products/inversores/222132.png","inversores",23156,"png"
"222133",true,1,"https://cdn.yellosolarhub.com/products/inversores/222133.png","https://cdn.yellosolarhub.com/products/inversores/222133.png","inversores",23156,"png"
"246761",true,1,"https://cdn.yellosolarhub.com/products/inversores/246761.jpg","https://cdn.yellosolarhub.com/products/inversores/246761.jpg","inversores",36080,"jpg"
"246763",true,1,"https://cdn.yellosolarhub.com/products/inversores/246763.jpg","https://cdn.yellosolarhub.com/products/inversores/246763.jpg","inversores",28801,"jpg"
"246764",true,1,"https://cdn.yellosolarhub.com/products/inversores/246764.jpg","https://cdn.yellosolarhub.com/products/inversores/246764.jpg","inversores",28691,"jpg"
"267277",true,1,"https://cdn.yellosolarhub.com/products/inversores/267277.jpg","https://cdn.yellosolarhub.com/products/inversores/267277.jpg","inversores",24496,"jpg"
"276954",true,1,"https://cdn.yellosolarhub.com/products/inversores/276954.jpg","https://cdn.yellosolarhub.com/products/inversores/276954.jpg","inversores",54303,"jpg"
"286844",true,1,"https://cdn.yellosolarhub.com/products/inversores/286844.png","https://cdn.yellosolarhub.com/products/inversores/286844.png","inversores",23156,"png"
"289241",true,1,"https://cdn.yellosolarhub.com/products/inversores/289241.jpg","https://cdn.yellosolarhub.com/products/inversores/289241.jpg","inversores",28042,"jpg"
"289244",true,1,"https://cdn.yellosolarhub.com/products/paineis/289244.jpg","https://cdn.yellosolarhub.com/products/paineis/289244.jpg","paineis",154064,"jpg"
"291808",true,1,"https://cdn.yellosolarhub.com/products/paineis/291808.jpg","https://cdn.yellosolarhub.com/products/paineis/291808.jpg","paineis",153945,"jpg"
"292421",true,1,"https://cdn.yellosolarhub.com/products/inversores/292421.jpg","https://cdn.yellosolarhub.com/products/inversores/292421.jpg","inversores",49563,"jpg"
"299586",true,1,"https://cdn.yellosolarhub.com/products/paineis/299586.jpg","https://cdn.yellosolarhub.com/products/paineis/299586.jpg","paineis",153969,"jpg"
"299589",true,1,"https://cdn.yellosolarhub.com/products/paineis/299589.jpg","https://cdn.yellosolarhub.com/products/paineis/299589.jpg","paineis",154547,"jpg"
"299591",true,1,"https://cdn.yellosolarhub.com/products/inversores/299591.jpg","https://cdn.yellosolarhub.com/products/inversores/299591.jpg","inversores",12696,"jpg"
"300585",true,1,"https://cdn.yellosolarhub.com/products/paineis/300585.jpg","https://cdn.yellosolarhub.com/products/paineis/300585.jpg","paineis",154023,"jpg"
"304574",true,1,"https://cdn.yellosolarhub.com/products/paineis/304574.jpg","https://cdn.yellosolarhub.com/products/paineis/304574.jpg","paineis",153506,"jpg"
"313801",true,1,"https://cdn.yellosolarhub.com/products/estruturas/313801.jpg","https://cdn.yellosolarhub.com/products/estruturas/313801.jpg","estruturas",189556,"jpg"
"313834",true,1,"https://cdn.yellosolarhub.com/products/estruturas/313834.jpg","https://cdn.yellosolarhub.com/products/estruturas/313834.jpg","estruturas",230315,"jpg"
"315148",true,1,"https://cdn.yellosolarhub.com/products/inversores/315148.jpg","https://cdn.yellosolarhub.com/products/inversores/315148.jpg","inversores",91568,"jpg"
"CAIXA20DE20PASSAGEM",true,1,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/caixa%20de%20passagem.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/caixa%20de%20passagem.png","UNKNOWN-MANUFACTURER",92495,"png"
"CONTENTINGRESSPORTALB2BNEOSOLARCOMBR",true,1,"https://cdn.yellosolarhub.com/products/outros/content_ingress=portalb2b.neosolar.com.br.png","https://cdn.yellosolarhub.com/products/outros/content_ingress=portalb2b.neosolar.com.br.png","outros",66651,"png"
