battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,kits,BRL,Fortlev,fortlev_kit_001,,https://prod-platform-api.s3.amazonaws.com/components/66b3b62951d7cf33a7085c16/GROWATT-NEO-2000M-X-2000W-220V.png,Growatt,2.0,1,Kit 2.44kWp - Panel + Growatt,https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,,,,2.44,2440.0,2923.56,1.2,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.44kWp|Unknown|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_002,,https://prod-platform-api.s3.amazonaws.com/components/66b3b62951d7cf33a7085c16/GROWATT-NEO-2000M-X-2000W-220V.png,Growatt,2.0,1,Kit 2.52kWp - Longi + Growatt,https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,Longi,630,4,2.52,2520.0,3163.7,1.26,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.52kWp|LONGi|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_003,,https://prod-platform-api.s3.amazonaws.com/components/66b3b62951d7cf33a7085c16/GROWATT-NEO-2000M-X-2000W-220V.png,Growatt,2.0,1,Kit 2.8kWp - Risen + Growatt,https://prod-platform-api.s3.amazonaws.com/components/671fe64111d826f8e99a58e4/RISEN-700W.png,Risen,700,4,2.8,2800.0,3837.94,1.37,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.8kWp|Risen|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_004,,"https://prod-platform-api.s3.amazonaws.com/components/67d9594a76d2130bb9003087/GROWATT-NEO-2,25.png",Growatt,,1,Kit 2.8kWp - Risen + Growatt,https://prod-platform-api.s3.amazonaws.com/components/671fe64111d826f8e99a58e4/RISEN-700W.png,Risen,700,4,2.8,2800.0,3923.18,1.4,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.8kWp|Risen|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_005,,https://prod-platform-api.s3.amazonaws.com/components/66b3b62951d7cf33a7085c16/GROWATT-NEO-2000M-X-2000W-220V.png,Growatt,2.0,1,Kit 2.92kWp - Longi + Growatt,https://prod-platform-api.s3.amazonaws.com/components/6888f711d571954b7ff6effc/LONGI-585W.png,Longi,585,5,2.92,2920.0,4222.76,1.44,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.92kWp|LONGi|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_006,,"https://prod-platform-api.s3.amazonaws.com/components/67d9594a76d2130bb9003087/GROWATT-NEO-2,25.png",Growatt,,1,Kit 2.92kWp - Longi + Growatt,https://prod-platform-api.s3.amazonaws.com/components/6888f711d571954b7ff6effc/LONGI-585W.png,Longi,585,5,2.92,2920.0,4393.24,1.5,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|2.92kWp|LONGi|Growatt|Residential Small,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_007,,"https://prod-platform-api.s3.amazonaws.com/components/67d9594a76d2130bb9003087/GROWATT-NEO-2,25.png",Growatt,,1,Kit 3.05kWp - Panel + Growatt,https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,,,,3.05,3050.0,4394.4,1.44,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|3.05kWp|Unknown|Growatt|Residential Medium,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_008,,"https://prod-platform-api.s3.amazonaws.com/components/67d9594a76d2130bb9003087/GROWATT-NEO-2,25.png",Growatt,,1,Kit 3.15kWp - Longi + Growatt,https://prod-platform-api.s3.amazonaws.com/components/68cbfb5b8434a2f72c363a4f/LONGI-630Wp_v2.png,Longi,630,5,3.15,3150.0,4694.59,1.49,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|3.15kWp|LONGi|Growatt|Residential Medium,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_009,,https://prod-platform-api.s3.amazonaws.com/components/670d5c35dac72e01f686b281/GROWATT-MIC-3000TL-X2-220V-1MPPT.png,Growatt,,1,Kit 3.66kWp - Panel + Growatt,https://prod-platform-api.s3.amazonaws.com/components/68dbedcc54fa3ed05329e145/IMO00135.png,,,,3.66,3660.0,4986.95,1.36,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|3.66kWp|Unknown|Growatt|Residential Medium,0,1,1,0,Solar Kit
,,,,kits,BRL,Fortlev,fortlev_kit_010,,https://prod-platform-api.s3.amazonaws.com/components/6687e304189963220c27c8a6/IIN00225.png,,,1,Kit 3.51kWp - Longi + Inverter,https://prod-platform-api.s3.amazonaws.com/components/6888f711d571954b7ff6effc/LONGI-585W.png,Longi,585,6,3.51,3510.0,5056.46,1.44,https___fortlevsolar.app_old.csv,published,Solar Kit|Grid-Tie|Photovoltaic System|3.51kWp|LONGi|Unknown|Residential Medium,0,1,1,0,Solar Kit
