battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,,,panels,BRL,Solfacil,solfacil_panels_1,/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_559375.jpeg,,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/559375/images/IMAGE_PRODUCT_559375.jpeg HANERSUN,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_panels_2,/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_559380.jpeg,,,,,HANERSUN,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_panels_3,/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_559376.jpeg,,,,,DAH,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_panels_4,/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_559381.png,,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/559381/images/IMAGE_PRODUCT_559381.png OSDA,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_panels_5,/catalog/images/SOLFACIL-PANELS/IMAGE_PRODUCT_573429.png,,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/573429/images/IMAGE_PRODUCT_573429.png HANERSUN,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_panels_6,/catalog/images/SOLFACIL-PANELS/image.png,,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/550010/images/image.png MINASOL,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_1,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600340.jpeg,,,,,ENPHASE IQ8P-72-2-BR,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_2,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE EZLOGGER PRO,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_3,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600329.jpg,,,,,GOODWE GW2000-MIS,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_4,/catalog/images/SOLFACIL-INVERTERS/image.webp,,,,,DEYE SUN-5K-G,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_5,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW 3300-XS-30 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_6,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600369.png,,,,,SOFAR 5KTLM-G3 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_7,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600382.png,,,,,HUAWEI SUN2000-3KTL-L1 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_8,/catalog/images/SOLFACIL-INVERTERS/image.jpg,,,,,DEYE SUN-8K-G,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_9,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW 5000-DNS-30 (16A) - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_10,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600423.png,,,,,HUAWEI SUN2000-4KTL-L1 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_11,,,,,,GOODWE GW8000-MS-C30 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_12,/catalog/images/SOLFACIL-INVERTERS/image.png,,,,,GOODWE GW 10K-MS-30 (20A) - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_13,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600386.png,,,,,HUAWEI SUN2000-10K-LC0 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_14,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600463.png,,,,,GOODWE GW10K-MS-G40 - AFCI,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
,,,,panels,BRL,Solfacil,solfacil_inverters_15,/catalog/images/SOLFACIL-INVERTERS/IMAGE_PRODUCT_600398.png,,,,,GOODWE GW10K-MS-G40 - AFCI C/ RSD,,,,1,0,0,0,,,published,Solar Panel|Solfacil,0,0,1,0,Solar Panel
