battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,currency,distributor,id,image_url,inverter_image,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_image,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,source_csv,status,tags,total_batteries,total_inverters,total_panels,total_structures,type
,,1,12,kits,BRL,Neosolar,NEO-25046,https://portal.zydon.com.br/api/files/7b6f0b2b-afd9-4fa1-8956-5e84a158ca26/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid - 160Wp 105Ah/12V (25046),,,160,1,0.16,160,1423.43,,,draft,Solar Kit|Neosolar,1,1,1,0,Solar Kit Off-Grid
,,2,48,kits,BRL,Neosolar,NEO-22691,https://portal.zydon.com.br/api/files/48e603cd-6d4c-4263-ba93-96468c7f7cd1/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.38kWp 200Ah 48V Lítio (22691),,,460,3,1.38,1380,0,,,draft,Solar Kit|Neosolar,2,1,3,0,Solar Kit Off-Grid
,,1,48,kits,BRL,Neosolar,NEO-22690,https://portal.zydon.com.br/api/files/6718996f-f280-43a1-ae3e-0ec159034560/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.38kWp 100Ah 48V Lítio (22690),,,460,3,1.38,1380,0,,,draft,Solar Kit|Neosolar,1,1,3,0,Solar Kit Off-Grid
,,8,12,kits,BRL,Neosolar,NEO-22675,https://portal.zydon.com.br/api/files/182a3505-3a4c-434d-980b-7ed807a4bd08/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.38kWp 440Ah 48V Chumbo (22675),,,460,3,1.38,1380,0,,,draft,Solar Kit|Neosolar,8,1,3,0,Solar Kit Off-Grid
,,2,12,kits,BRL,Neosolar,NEO-22671,https://portal.zydon.com.br/api/files/82cbca3a-47e0-4ae9-bef2-22a6be496eba/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 330Wp 440Ah 12V Chumbo (22671),,,330,1,0.33,330,0,,,draft,Solar Kit|Neosolar,2,1,1,0,Solar Kit Off-Grid
,,3,48,kits,BRL,Neosolar,NEO-22689,https://portal.zydon.com.br/api/files/875a3f72-1bd9-4815-9985-d5d94c7dc6cf/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 2.32kWp 300Ah 48V Lítio (22689),,,580,4,2.32,2320,0,,,draft,Solar Kit|Neosolar,3,1,4,0,Solar Kit Off-Grid
,,2,48,kits,BRL,Neosolar,NEO-22685,https://portal.zydon.com.br/api/files/e2a7b22d-6238-4dbf-8011-30b7be2c2acc/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.38kWp 200Ah 48V Lítio (22685),,,460,3,1.38,1380,0,,,draft,Solar Kit|Neosolar,2,1,3,0,Solar Kit Off-Grid
,,1,48,kits,BRL,Neosolar,NEO-22684,https://portal.zydon.com.br/api/files/09d1cb39-777d-41bd-8da7-ee32da2ac135/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.38kWp 100Ah 48V Lítio (22684),,,460,3,1.38,1380,0,,,draft,Solar Kit|Neosolar,1,1,3,0,Solar Kit Off-Grid
,,1,48,kits,BRL,Neosolar,NEO-22692,https://portal.zydon.com.br/api/files/09d4f04c-9bb3-4e47-b74b-3cf777023dd8/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.16kWp 100Ah 48V Lítio (22692),,,580,2,1.16,1160,0,,,draft,Solar Kit|Neosolar,1,1,2,0,Solar Kit Off-Grid
,,8,12,kits,BRL,Neosolar,NEO-22677,https://portal.zydon.com.br/api/files/b807aae3-6eb3-4b0c-b612-af0852f62036/content?ingress=portalb2b.neosolar.com.br,,,,1,Kit Energia Solar Off Grid s/ Inversor - 1.16kWp 440Ah 48V Chumbo (22677),,,580,2,1.16,1160,0,,,draft,Solar Kit|Neosolar,8,1,2,0,Solar Kit Off-Grid
