battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_001,Growatt,2.0,1,Kit 2.44kWp - Panel + Growatt,,,,2.44,2440.0,2923.56,1.2,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_002,Growatt,2.0,1,Kit 2.52kWp - Longi + Growatt,Longi,630,4,2.52,2520.0,3163.7,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_003,Growatt,2.0,1,Kit 2.8kWp - Risen + Growatt,Risen,700,4,2.8,2800.0,3837.94,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_004,Growatt,,1,Kit 2.8kWp - Risen + Growatt,Risen,700,4,2.8,2800.0,3923.18,1.4,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_005,Growatt,2.0,1,Kit 2.92kWp - Longi + Growatt,Longi,585,5,2.92,2920.0,4222.76,1.44,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_006,Growatt,,1,Kit 2.92kWp - Longi + Growatt,Longi,585,5,2.92,2920.0,4393.24,1.5,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_007,Growatt,,1,Kit 3.05kWp - Panel + Growatt,,,,3.05,3050.0,4394.4,1.44,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_008,Growatt,,1,Kit 3.15kWp - Longi + Growatt,Longi,630,5,3.15,3150.0,4694.59,1.49,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_009,Growatt,,1,Kit 3.66kWp - Panel + Growatt,,,,3.66,3660.0,4986.95,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_010,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5056.46,1.44,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_011,,,1,Kit 3.66kWp - Panel + Inverter,,,,3.66,3660.0,5057.86,1.38,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_012,Growatt,2.0,1,Kit 2.65kWp - BYD + Growatt,BYD,530,5,2.65,2650.0,5073.84,1.91,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_013,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5202.9,1.48,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_014,,,1,Kit 3.66kWp - Panel + Inverter,,,,3.66,3660.0,5204.3,1.42,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_015,Growatt,,1,Kit 3.78kWp - Longi + Growatt,Longi,630,6,3.78,3780.0,5304.08,1.4,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_016,Growatt,,1,Kit 3.78kWp - Longi + Growatt,Longi,630,6,3.78,3780.0,5347.17,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_017,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5364.9,1.53,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_018,,,1,Kit 3.66kWp - Panel + Inverter,,,,3.66,3660.0,5366.3,1.47,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_019,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5418.08,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_020,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5457.3,1.33,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_021,,,1,Kit 4.27kWp - Panel + Inverter,,,,4.27,4270.0,5458.93,1.28,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_022,Growatt,,1,Kit 4.09kWp - Longi + Growatt,Longi,585,7,4.09,4090.0,5483.29,1.34,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_023,Growatt,,1,Kit 4.09kWp - Longi + Growatt,Longi,585,7,4.09,4090.0,5526.38,1.35,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_024,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5564.52,1.47,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_025,,,1,Kit 2.92kWp - Longi + Inverter,Longi,585,5,2.92,2920.0,5574.92,1.91,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_026,Sungrow,,1,Kit 4.09kWp - Longi + Sungrow,Longi,585,7,4.09,4090.0,5636.14,1.38,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_027,Sungrow,,1,Kit 4.27kWp - Panel + Sungrow,,,,4.27,4270.0,5637.77,1.32,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_028,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5726.52,1.51,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_029,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5786.74,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_030,,,1,Kit 4.27kWp - Panel + Inverter,,,,4.27,4270.0,5788.38,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_031,,,1,Kit 3.5kWp - Risen + Inverter,Risen,700,5,3.5,3500.0,5806.22,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_032,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5841.18,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_033,,,1,Kit 4.27kWp - Panel + Inverter,,,,4.27,4270.0,5842.82,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_034,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,5879.19,1.33,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_035,Growatt,,1,Kit 3.18kWp - BYD + Growatt,BYD,530,6,3.18,3180.0,5955.36,1.87,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_036,,,1,Kit 3.5kWp - Risen + Inverter,Risen,700,5,3.5,3500.0,5968.22,1.71,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_037,Sungrow,,1,Kit 4.41kWp - Longi + Sungrow,Longi,630,7,4.41,4410.0,6058.03,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_038,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,6208.63,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_039,Growatt,2.0,1,Kit 2.88kWp - Panel + Growatt,,,,2.88,2880.0,6244.48,2.17,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_040,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,6263.07,1.42,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_041,Enphase,,1,Kit 2.8kWp - Risen + Enphase,Risen,700,4,2.8,2800.0,6296.65,2.25,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_042,Growatt,,1,Kit 4.2kWp - Risen + Growatt,Risen,700,6,4.2,4200.0,6358.53,1.51,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_043,Growatt,,1,Kit 2.88kWp - Panel + Growatt,,,,2.88,2880.0,6414.96,2.23,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_044,Sungrow,,1,Kit 4.2kWp - Risen + Sungrow,Risen,700,6,4.2,4200.0,6468.29,1.54,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_045,Enphase,,1,Kit 2.92kWp - Longi + Enphase,Longi,585,5,2.92,2920.0,6510.25,2.23,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_046,Enphase,,1,Kit 3.05kWp - Panel + Enphase,,,,3.05,3050.0,6511.42,2.13,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_047,,,1,Kit 4.2kWp - Risen + Inverter,Risen,700,6,4.2,4200.0,6673.33,1.59,0,1,1,Solar Kit
