battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,panels,Solfacil,solfacil_panels_1,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/559375/images/IMAGE_PRODUCT_559375.jpeg HANERSUN,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_panels_2,,,,HANERSUN,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_panels_3,,,,DAH,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_panels_4,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/559381/images/IMAGE_PRODUCT_559381.png OSDA,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_panels_5,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/573429/images/IMAGE_PRODUCT_573429.png HANERSUN,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_panels_6,,,,https://cdn-ecommerce.solfacil.com.br/contents/products/550010/images/image.png MINASOL,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_1,,,,ENPHASE IQ8P-72-2-BR,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_2,,,,GOODWE EZLOGGER PRO,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_3,,,,GOODWE GW2000-MIS,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_4,,,,DEYE SUN-5K-G,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_5,,,,GOODWE GW 3300-XS-30 - AFCI,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_6,,,,SOFAR 5KTLM-G3 - AFCI,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_7,,,,HUAWEI SUN2000-3KTL-L1 - AFCI,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_8,,,,DEYE SUN-8K-G,,,1,0,0,0,,0,0,1,Solar Panel
,,,,panels,Solfacil,solfacil_inverters_9,,,,GOODWE GW 5000-DNS-30 (16A) - AFCI,,,1,0,0,0,,0,0,1,Solar Panel
