battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_012,Growatt,2.0,1,Kit 2.65kWp - BYD + Growatt,BYD,530,5,2.65,2650.0,5073.84,1.91,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_035,Growatt,,1,Kit 3.18kWp - BYD + Growatt,BYD,530,6,3.18,3180.0,5955.36,1.87,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_048,Growatt,,1,Kit 3.71kWp - BYD + Growatt,BYD,530,7,3.71,3710.0,6674.8,1.8,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_049,Growatt,,1,Kit 3.71kWp - BYD + Growatt,BYD,530,7,3.71,3710.0,6717.89,1.81,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_051,,,1,Kit 3.71kWp - BYD + Inverter,BYD,530,7,3.71,3710.0,6935.24,1.87,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_053,,,1,Kit 3.71kWp - BYD + Inverter,BYD,530,7,3.71,3710.0,7097.24,1.91,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_054,,,1,Kit 4.24kWp - BYD + Inverter,BYD,530,8,4.24,4240.0,7359.85,1.74,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_055,,,1,Kit 3.71kWp - BYD + Inverter,BYD,530,7,3.71,3710.0,7380.85,1.99,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_058,,,1,Kit 3.18kWp - BYD + Inverter,BYD,530,6,3.18,3180.0,7538.06,2.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_059,Sungrow,,1,Kit 4.24kWp - BYD + Sungrow,BYD,530,8,4.24,4240.0,7538.69,1.78,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_063,,,1,Kit 4.24kWp - BYD + Inverter,BYD,530,8,4.24,4240.0,7689.3,1.81,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_064,,,1,Kit 4.24kWp - BYD + Inverter,BYD,530,8,4.24,4240.0,7743.74,1.83,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_080,Enphase,,1,Kit 3.18kWp - BYD + Enphase,BYD,530,6,3.18,3180.0,8660.46,2.72,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_095,,,1,Kit 4.24kWp - BYD + Inverter,BYD,530,8,4.24,4240.0,9761.42,2.3,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_103,,,1,Kit 5.83kWp - BYD + Inverter,BYD,530,11,5.83,5830.0,10047.22,1.72,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_106,Sungrow,,1,Kit 5.83kWp - BYD + Sungrow,BYD,530,11,5.83,5830.0,10384.56,1.78,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_119,,,1,Kit 7.42kWp - BYD + Inverter,BYD,530,14,7.42,7420.0,12049.58,1.62,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_120,,,1,Kit 7.42kWp - BYD + Inverter,BYD,530,14,7.42,7420.0,12115.48,1.63,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_121,Sungrow,,1,Kit 7.42kWp - BYD + Sungrow,BYD,530,14,7.42,7420.0,12285.82,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_122,,,1,Kit 7.42kWp - BYD + Inverter,BYD,530,14,7.42,7420.0,12293.13,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_123,,,1,Kit 7.42kWp - BYD + Inverter,BYD,530,14,7.42,7420.0,12296.78,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_135,,,1,Kit 8.48kWp - BYD + Inverter,BYD,530,16,8.48,8480.0,13643.1,1.61,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_136,,,1,Kit 8.48kWp - BYD + Inverter,BYD,530,16,8.48,8480.0,13654.8,1.61,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_137,,,1,Kit 8.48kWp - BYD + Inverter,BYD,530,16,8.48,8480.0,13701.5,1.62,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_139,,,1,Kit 8.48kWp - BYD + Inverter,BYD,530,16,8.48,8480.0,13800.04,1.63,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_186,,,1,Kit 10.6kWp - BYD + Inverter,BYD,530,20,10.6,10600.0,17583.14,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_188,,,1,Kit 11.13kWp - BYD + Inverter,BYD,530,21,11.13,11130.0,17825.88,1.6,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_190,,,1,Kit 11.13kWp - BYD + Inverter,BYD,530,21,11.13,11130.0,18496.03,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_192,,,1,Kit 11.66kWp - BYD + Inverter,BYD,530,22,11.66,11660.0,18791.78,1.61,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_194,,,1,Kit 11.66kWp - BYD + Inverter,BYD,530,22,11.66,11660.0,18943.13,1.62,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_196,,,1,Kit 11.66kWp - BYD + Inverter,BYD,530,22,11.66,11660.0,19254.11,1.65,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_202,,,1,Kit 13.25kWp - BYD + Inverter,BYD,530,25,13.25,13250.0,21041.24,1.59,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_206,Sungrow,,1,Kit 13.25kWp - BYD + Sungrow,BYD,530,25,13.25,13250.0,21689.11,1.64,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_210,,,1,Kit 14.84kWp - BYD + Inverter,BYD,530,28,14.84,14840.0,23227.97,1.57,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_211,,,1,Kit 14.84kWp - BYD + Inverter,BYD,530,28,14.84,14840.0,23545.55,1.59,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_212,,,1,Kit 14.84kWp - BYD + Inverter,BYD,530,28,14.84,14840.0,23555.34,1.59,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_213,,,1,Kit 14.84kWp - BYD + Inverter,BYD,530,28,14.84,14840.0,23748.43,1.6,0,1,1,Solar Kit
