battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_002,Growatt,2.0,1,Kit 2.52kWp - Longi + Growatt,Longi,630,4,2.52,2520.0,3163.7,1.26,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_005,Growatt,2.0,1,Kit 2.92kWp - Longi + Growatt,Longi,585,5,2.92,2920.0,4222.76,1.44,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_006,Growatt,,1,Kit 2.92kWp - Longi + Growatt,Longi,585,5,2.92,2920.0,4393.24,1.5,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_008,Growatt,,1,Kit 3.15kWp - Longi + Growatt,Longi,630,5,3.15,3150.0,4694.59,1.49,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_010,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5056.46,1.44,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_013,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5202.9,1.48,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_015,Growatt,,1,Kit 3.78kWp - Longi + Growatt,Longi,630,6,3.78,3780.0,5304.08,1.4,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_016,Growatt,,1,Kit 3.78kWp - Longi + Growatt,Longi,630,6,3.78,3780.0,5347.17,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_017,,,1,Kit 3.51kWp - Longi + Inverter,Longi,585,6,3.51,3510.0,5364.9,1.53,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_019,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5418.08,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_020,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5457.3,1.33,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_022,Growatt,,1,Kit 4.09kWp - Longi + Growatt,Longi,585,7,4.09,4090.0,5483.29,1.34,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_023,Growatt,,1,Kit 4.09kWp - Longi + Growatt,Longi,585,7,4.09,4090.0,5526.38,1.35,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_024,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5564.52,1.47,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_025,,,1,Kit 2.92kWp - Longi + Inverter,Longi,585,5,2.92,2920.0,5574.92,1.91,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_026,Sungrow,,1,Kit 4.09kWp - Longi + Sungrow,Longi,585,7,4.09,4090.0,5636.14,1.38,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_028,,,1,Kit 3.78kWp - Longi + Inverter,Longi,630,6,3.78,3780.0,5726.52,1.51,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_029,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5786.74,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_032,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,5841.18,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_034,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,5879.19,1.33,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_037,Sungrow,,1,Kit 4.41kWp - Longi + Sungrow,Longi,630,7,4.41,4410.0,6058.03,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_038,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,6208.63,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_040,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,6263.07,1.42,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_045,Enphase,,1,Kit 2.92kWp - Longi + Enphase,Longi,585,5,2.92,2920.0,6510.25,2.23,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_050,Enphase,,1,Kit 3.15kWp - Longi + Enphase,Longi,630,5,3.15,3150.0,6811.6,2.16,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_061,,,1,Kit 5.85kWp - Longi + Inverter,Longi,585,10,5.85,5850.0,7634.01,1.3,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_062,,,1,Kit 5.67kWp - Longi + Inverter,Longi,630,9,5.67,5670.0,7635.62,1.35,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_066,,,1,Kit 4.09kWp - Longi + Inverter,Longi,585,7,4.09,4090.0,7858.86,1.92,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_067,Sungrow,,1,Kit 5.85kWp - Longi + Sungrow,Longi,585,10,5.85,5850.0,7971.36,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_068,Sungrow,,1,Kit 5.67kWp - Longi + Sungrow,Longi,630,9,5.67,5670.0,7972.96,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_069,,,1,Kit 4.41kWp - Longi + Inverter,Longi,630,7,4.41,4410.0,8280.75,1.88,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_075,,,1,Kit 7.02kWp - Longi + Inverter,Longi,585,12,7.02,7020.0,8584.9,1.22,0,1,1,Solar Kit
