battery_capacity_kwh,battery_manufacturer,battery_quantity,battery_voltage_v,category,distributor,id,inverter_manufacturer,inverter_power_kw,inverter_quantity,name,panel_manufacturer,panel_power_w,panel_quantity,power_kwp,power_watts,price_brl,price_per_wp,total_batteries,total_inverters,total_panels,type
,,,,kits,Fortlev,fortlev_kit_003,Growatt,2.0,1,Kit 2.8kWp - Risen + Growatt,Risen,700,4,2.8,2800.0,3837.94,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_004,Growatt,,1,Kit 2.8kWp - Risen + Growatt,Risen,700,4,2.8,2800.0,3923.18,1.4,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_031,,,1,Kit 3.5kWp - Risen + Inverter,Risen,700,5,3.5,3500.0,5806.22,1.66,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_036,,,1,Kit 3.5kWp - Risen + Inverter,Risen,700,5,3.5,3500.0,5968.22,1.71,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_041,Enphase,,1,Kit 2.8kWp - Risen + Enphase,Risen,700,4,2.8,2800.0,6296.65,2.25,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_042,Growatt,,1,Kit 4.2kWp - Risen + Growatt,Risen,700,6,4.2,4200.0,6358.53,1.51,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_044,Sungrow,,1,Kit 4.2kWp - Risen + Sungrow,Risen,700,6,4.2,4200.0,6468.29,1.54,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_047,,,1,Kit 4.2kWp - Risen + Inverter,Risen,700,6,4.2,4200.0,6673.33,1.59,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_073,,,1,Kit 5.6kWp - Risen + Inverter,Risen,700,8,5.6,5600.0,8382.99,1.5,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_083,Sungrow,,1,Kit 5.6kWp - Risen + Sungrow,Risen,700,8,5.6,5600.0,8720.34,1.56,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_098,,,1,Kit 7.0kWp - Risen + Inverter,Risen,700,10,7.0,7000.0,9857.44,1.41,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_101,Sungrow,,1,Kit 7.0kWp - Risen + Sungrow,Risen,700,10,7.0,7000.0,10027.77,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_102,,,1,Kit 7.0kWp - Risen + Inverter,Risen,700,10,7.0,7000.0,10038.74,1.43,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_115,,,1,Kit 8.4kWp - Risen + Inverter,Risen,700,12,8.4,8400.0,11513.99,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_116,,,1,Kit 8.4kWp - Risen + Inverter,Risen,700,12,8.4,8400.0,11560.69,1.38,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_155,,,1,Kit 10.5kWp - Risen + Inverter,Risen,700,15,10.5,10500.0,14907.12,1.42,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_158,,,1,Kit 11.2kWp - Risen + Inverter,Risen,700,16,11.2,11200.0,15186.77,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_161,,,1,Kit 11.2kWp - Risen + Inverter,Risen,700,16,11.2,11200.0,15878.62,1.42,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_164,,,1,Kit 11.9kWp - Risen + Inverter,Risen,700,17,11.9,11900.0,16311.93,1.37,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_166,,,1,Kit 11.9kWp - Risen + Inverter,Risen,700,17,11.9,11900.0,16384.34,1.38,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_175,,,1,Kit 11.9kWp - Risen + Inverter,Risen,700,17,11.9,11900.0,16695.32,1.4,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_191,Sungrow,,1,Kit 13.3kWp - Risen + Sungrow,Risen,700,19,13.3,13300.0,18536.51,1.39,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_195,,,1,Kit 14.0kWp - Risen + Inverter,Risen,700,20,14.0,14000.0,19046.35,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_197,,,1,Kit 14.7kWp - Risen + Inverter,Risen,700,21,14.7,14700.0,19481.55,1.33,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_198,,,1,Kit 14.7kWp - Risen + Inverter,Risen,700,21,14.7,14700.0,19799.13,1.35,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_199,,,1,Kit 14.7kWp - Risen + Inverter,Risen,700,21,14.7,14700.0,20002.0,1.36,0,1,1,Solar Kit
,,,,kits,Fortlev,fortlev_kit_205,,,1,Kit 16.1kWp - Risen + Inverter,Risen,700,23,16.1,16100.000000000002,21539.52,1.34,0,1,1,Solar Kit
