distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_accessories_ITR00085,"PARAFUSO HEX M61,0 X 45MM",Unknown,,,accessories,,,,,,,,,BRL,"PARAFUSO HEX M61,0 X 45MM",,,,,,,,,,,
Fortlev,fortlev_accessories_ITR00056,"PARAFUSO HEX M61,0 X 12MM",Unknown,,,accessories,,,,,,,,,BRL,"PARAFUSO HEX M61,0 X 12MM",,,,,,,,,,,
Solfacil,solfacil_accessories_1,KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007),SOLFACIL,,,accessories,,,,,,,,,BRL,KIT FIXACAO FINAL TF-015 P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF 007),,,,,,,,,,,
Solfacil,solfacil_accessories_2,KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L),SOLFACIL,,,accessories,,,,,,,,,BRL,KIT FIXADOR MICRO INVERSOR P/ PERFIL LATERAL (C/ SUPORTE L),,,,,,,,,,,
Solfacil,solfacil_accessories_3,SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV,SOLFACIL,,,accessories,,,,,,,,,BRL,SUPORTE P/ TELHA FIBROCIMENTO E METALICO ONDULADO - FIXACAO EM METAL- P/ PERFIL TF-007 - NV,,,,,,,,,,,
Solfacil,solfacil_accessories_4,KIT SUPORTE P/ TELHA ONDULADO METALICO - FIXACAO EM METAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA ONDULADO METALICO - FIXACAO EM METAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN,,,,,,,,,,,
Solfacil,solfacil_accessories_5,SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF-007 - SUPORTE S) - S/ PERFIL,SOLFACIL,,,accessories,,,,,,,,,BRL,SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS P/ SISTEMA FOTOVOLTAICO (TF-007 - SUPORTE S) - S/ PERFIL,,,,,,,,,,,
Solfacil,solfacil_accessories_6,KIT SUPORTE P/ TELHA FIBROCIMENTO - PARAFUSO ESTRUTURAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA FIBROCIMENTO - PARAFUSO ESTRUTURAL - P/ 2 MÓDULOS - S/ PERFIL (M1) - TSUN,,,,,,,,,,,
Solfacil,solfacil_accessories_7,KIT SUPORTE P/ TELHA TRAPEZOIDAL MINI-TRILHO 410MM P/ 2 MODULOS - TSUN,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA TRAPEZOIDAL MINI-TRILHO 410MM P/ 2 MODULOS - TSUN,,,,,,,,,,,
Solfacil,solfacil_accessories_8,KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL - CCM,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL - CCM,,,,,,,,,,,
Solfacil,solfacil_accessories_9,KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL (M1) - TSUN,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA CERAMICA P/ 2 MODULOS - S/ PERFIL (M1) - TSUN,,,,,,,,,,,
Solfacil,solfacil_accessories_10,KIT SUPORTE P/ TELHA PARAFUSO ESTRUTURAL P/ 2 MODULOS - 2P - S/ PERFIL,SOLFACIL,,,accessories,,,,,,,,,BRL,KIT SUPORTE P/ TELHA PARAFUSO ESTRUTURAL P/ 2 MODULOS - 2P - S/ PERFIL,,,,,,,,,,,
