distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Solfacil,solfacil_cables_1,"CABO FLEX 1KV 25MM VM C/RL 2,5MT",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO FLEX 1KV 25MM VM C/RL 2,5MT",,,,,,,,,,,
Solfacil,solfacil_cables_2,"CABO FLEX 1KV 16MM VM C/RL 2,5MT",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO FLEX 1KV 16MM VM C/RL 2,5MT",,,,,,,,,,,
Solfacil,solfacil_cables_3,"CABO FLEX 1KV 16MM PT C/RL 2,5MT",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO FLEX 1KV 16MM PT C/RL 2,5MT",,,,,,,,,,,
Solfacil,solfacil_cables_4,"CABO SOLAR 4,0MM2 PRETO C/ 8 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 PRETO C/ 8 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_5,"CABO SOLAR 4,0MM2 VERMELHO C/ 8 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/ 8 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_6,"CABO SOLAR 4,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_7,"CABO SOLAR 4,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_8,"CABO SOLAR 6,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 6,0MM2 PRETO C/ 25 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_9,"CABO SOLAR 6,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 6,0MM2 VERMELHO C/25 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_10,"CABO SOLAR 4,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_11,"CABO SOLAR 4,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_12,"CABO SOLAR 6,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 6,0MM2 VERMELHO C/ 50 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_13,"CABO SOLAR 6,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 6,0MM2 PRETO C/ 50 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_14,"CABO SOLAR 4,0MM2 VERMELHO C/ 75 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/ 75 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_15,"CABO SOLAR 4,0MM2 PRETO C/ 75 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 PRETO C/ 75 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_16,"CABO SOLAR 4,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 VERMELHO C/ 100 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
Solfacil,solfacil_cables_17,"CABO SOLAR 4,0MM2 PRETO C/ 100 MT (PROTECAO UV 1,8KVCC)",SOLFACIL,,,cables,,,,,,,,,BRL,"CABO SOLAR 4,0MM2 PRETO C/ 100 MT (PROTECAO UV 1,8KVCC)",,,,,,,,,,,
