distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_conduits_IDT00028,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00009,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 680N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00011,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00014,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00033,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 90 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00030,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 75 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00021,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00020,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00001,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT  PEAD DN 32 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00036,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00027,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00024,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 100M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 100M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00017,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 110 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00008,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 63 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00002,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 40 - NBR 450N - (MULT. 50M),,,,,,,,,,,
Fortlev,fortlev_conduits_IDT00005,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 50M),Unknown,,,conduits,,,,,,,,,BRL,DUTO CORRUGADO CONDUFORT PEAD DN 50 - NBR 450N - (MULT. 50M),,,,,,,,,,,
