distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_hybrid_inverters_IIN00386,HUAWEI HIBRIDO 4KW - 220V - 2 MPPT - AFCI (SUN2000-4KTL-L1),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI HIBRIDO 4KW - 220V - 2 MPPT - AFCI (SUN2000-4KTL-L1),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00379,HUAWEI HIBRIDO 25KW - 380V - 2 MPPT - AFCI (SUN2000-25K-MB0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI HIBRIDO 25KW - 380V - 2 MPPT - AFCI (SUN2000-25K-MB0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00377,HUAWEI HIBRIDO 20KW - 380V - 2 MPPT - AFCI (SUN2000-20K-MB0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI HIBRIDO 20KW - 380V - 2 MPPT - AFCI (SUN2000-20K-MB0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00376,HUAWEI HIBRIDO 15KW - 380V - 2 MPPT - AFCI (SUN2000-15K-MB0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI HIBRIDO 15KW - 380V - 2 MPPT - AFCI (SUN2000-15K-MB0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00370,HUAWEI  HIBRIDO 8KW - 220V - 3 MPPT - AFCI (SUN2000-8KTL-LC0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 8KW - 220V - 3 MPPT - AFCI (SUN2000-8KTL-LC0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00368,HUAWEI  HIBRIDO 7.5KW - 220V - 3 MPPT - AFCI (SUN2000-7.5K-LC0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 7.5KW - 220V - 3 MPPT - AFCI (SUN2000-7.5K-LC0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00367,HUAWEI  HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SUN2000-10K-LC0),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SUN2000-10K-LC0),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00366,HUAWEI  HIBRIDO 6KW - 220V - 2 MPPT - AFCI (SUN2000-6KTL-L1),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 6KW - 220V - 2 MPPT - AFCI (SUN2000-6KTL-L1),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00365,HUAWEI  HIBRIDO 5KW - 220V - 2 MPPT - AFCI (SUN2000-5KTL-L1),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 5KW - 220V - 2 MPPT - AFCI (SUN2000-5KTL-L1),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00364,HUAWEI  HIBRIDO 3KW - 220V - 2 MPPT - AFCI (SUN2000-3KTL-L1),Huawei,,,hybrid_inverters,,,,,,,,,BRL,HUAWEI  HIBRIDO 3KW - 220V - 2 MPPT - AFCI (SUN2000-3KTL-L1),,,,,,,,,,,
Fortlev,fortlev_hybrid_inverters_IIN00224,GROWATT HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SPH10000TL-HU),Growatt,,,hybrid_inverters,,,,,,,,,BRL,GROWATT HIBRIDO 10KW - 220V - 3 MPPT - AFCI (SPH10000TL-HU),,,,,,,,,,,
