distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_inverters_IIN00384,HUAWEI ON-GRID 75KW - 220V - 7 MPPT - AFCI (SUN2000-75K-MGL0-BR),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 75KW - 220V - 7 MPPT - AFCI (SUN2000-75K-MGL0-BR),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00383,HUAWEI ON-GRID 50KW - 380V - 4 MPPT - AFCI (SUN2000-50KTL-BRM3),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 50KW - 380V - 4 MPPT - AFCI (SUN2000-50KTL-BRM3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00382,HUAWEI ON-GRID 50KW - 220V - 7 MPPT - AFCI (SUN2000-50K-MGL0-BR),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 50KW - 220V - 7 MPPT - AFCI (SUN2000-50K-MGL0-BR),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00381,HUAWEI ON-GRID 40KW - 380V - 4 MPPT - AFCI (SUN2000-40KTL-BRM3),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 40KW - 380V - 4 MPPT - AFCI (SUN2000-40KTL-BRM3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00380,HUAWEI ON-GRID 30KW - 380V - 4 MPPT - AFCI (SUN2000-30KTL-BRM3),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 30KW - 380V - 4 MPPT - AFCI (SUN2000-30KTL-BRM3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00378,HUAWEI ON-GRID 20KW - 220V - 4 MPPT - AFCI (SUN2000-20KTL-BRM3),Huawei,,,inverters,,,,,,,,,BRL,HUAWEI ON-GRID 20KW - 220V - 4 MPPT - AFCI (SUN2000-20KTL-BRM3),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00358,GROWATT MAC-36KTL3-XL2 - 220V - 3MPPT,Growatt,,,inverters,,,,,,,,,BRL,GROWATT MAC-36KTL3-XL2 - 220V - 3MPPT,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00357,GROWATT ON-GRID 30KW - 220V - 3 MPPT - AFCI (MAC30KTL3-XL2),Growatt,,,inverters,,,,,,,,,BRL,GROWATT ON-GRID 30KW - 220V - 3 MPPT - AFCI (MAC30KTL3-XL2),,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00373,MEDIDOR TRIF. SOLIS DTSD1352-C-3*1(6)A,Solis,,,inverters,,,,,,,,,BRL,MEDIDOR TRIF. SOLIS DTSD1352-C-3*1(6)A,,,,,,,,,,,
Fortlev,fortlev_inverters_IIN00372,CONTROLADOR DE EXPORTAÇÃO SOLIS-EPM3-5G-PRO,Solis,,,inverters,,,,,,,,,BRL,CONTROLADOR DE EXPORTAÇÃO SOLIS-EPM3-5G-PRO,,,,,,,,,,,
