distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_panels_IMO00135,PAINEL DMEGC 610 WP DM610G12RT-B66HSW BF,Dmegc,,,panels,,,,,,,,,BRL,PAINEL DMEGC 610 WP DM610G12RT-B66HSW BF,,,,,,,,,,,
Fortlev,fortlev_panels_IMO00132,PAINEL LONGI LR7-72HTH-630M HORIZON,Longi,,,panels,,,,,,,,,BRL,PAINEL LONGI LR7-72HTH-630M HORIZON,,,,,,,,,,,
Fortlev,fortlev_panels_IMO00131,PAINEL BYD BYD-530W-MLK-36 - 530W,Byd,,,panels,,,,,,,,,BRL,PAINEL BYD BYD-530W-MLK-36 - 530W,,,,,,,,,,,
Fortlev,fortlev_panels_IMO00093,PAINEL BYD BYD575HRP72S - 575W,Byd,,,panels,,,,,,,,,BRL,PAINEL BYD BYD575HRP72S - 575W,,,,,,,,,,,
Solfacil,solfacil_panels_1,https://cdn-ecommerce.solfacil.com.br/contents/products/559375/images/IMAGE_PRODUCT_559375.jpeg HANERSUN,HANERSUN,,,panels,,,,,,,,,BRL,HN18N-72H,,,,,,,,,,,
Solfacil,solfacil_panels_2,HANERSUN,HANERSUN,,,panels,,,,,,,,,BRL,HN18N-72H,,,,,,,,,,,
Solfacil,solfacil_panels_3,DAH,DAH,,,panels,,,,,,,,,BRL,DHN-72X16/DG,,,,,,,,,,,
Solfacil,solfacil_panels_4,https://cdn-ecommerce.solfacil.com.br/contents/products/559381/images/IMAGE_PRODUCT_559381.png OSDA,OSDA,,,panels,,,,,,,,,BRL,33V-MHDRZ,,,,,,,,,,,
Solfacil,solfacil_panels_5,https://cdn-ecommerce.solfacil.com.br/contents/products/573429/images/IMAGE_PRODUCT_573429.png HANERSUN,HANERSUN,,,panels,,,,,,,,,BRL,HJT HN21H-66HT,,,,,,,,,,,
Solfacil,solfacil_panels_6,https://cdn-ecommerce.solfacil.com.br/contents/products/550010/images/image.png MINASOL,MINASOL,,,panels,,,,,,,,,BRL,MS-545,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ODEX-585W,Painel Solar Odex 585W,Odex,Odex,,panels,,,,,,,,,BRL,Painel Solar Odex 585W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ODEX-600W,Painel Solar Odex 600W,Odex,Odex,,panels,,,,,,,,,BRL,Painel Solar Odex 600W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ODEX-610W,Painel Solar Odex 610W,Odex,Odex,,panels,,,,,,,,,BRL,Painel Solar Odex 610W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ODEX-660W,Painel Solar Odex 660W,Odex,Odex,,panels,,,,,,,,,BRL,Painel Solar Odex 660W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ODEX-700W,Painel Solar Odex 700W,Odex,Odex,,panels,,,,,,,,,BRL,Painel Solar Odex 700W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-ASTRONERGY-600W,Painel Solar Astronergy 600W,Astronergy,Astronergy,,panels,,,,,,,,,BRL,Painel Solar Astronergy 600W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-TSUN-560W,Painel Solar Tsun 560W,Tsun,Tsun,,panels,,,,,,,,,BRL,Painel Solar Tsun 560W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-JINKO-610W,Painel Solar Jinko 610W,Jinko,Jinko,,panels,,,,,,,,,BRL,Painel Solar Jinko 610W,,,,,,,,,,,
Odex,odex_inverters_ODEX-PAINEL-JINKO-615W,Painel Solar Jinko 615W,Jinko,Jinko,,panels,,,,,,,,,BRL,Painel Solar Jinko 615W,,,,,,,,,,,
