distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_stringboxes_ISB00018,STRING BOX CLAMPER 1040V 32A 3E/3S,Clamper,,,stringboxes,,,,,,,,,BRL,STRING BOX CLAMPER 1040V 32A 3E/3S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00016,STRING BOX 1040VDC 5E/1S,Unknown,,,stringboxes,,,,,,,,,BRL,STRING BOX 1040VDC 5E/1S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00015,STRING BOX 1040VDC 3E1S,Unknown,,,stringboxes,,,,,,,,,BRL,STRING BOX 1040VDC 3E1S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00017,STRING BOX 1040VDC 14E/1S,Unknown,,,stringboxes,,,,,,,,,BRL,STRING BOX 1040VDC 14E/1S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00014,STRING BOX 1040 6E/6S,Unknown,,,stringboxes,,,,,,,,,BRL,STRING BOX 1040 6E/6S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00012,COMBINERBOX 12E-12S 1010VDC,Unknown,,,stringboxes,,,,,,,,,BRL,COMBINERBOX 12E-12S 1010VDC,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00011,COMBINERBOX 6E-6S 1100DC,Unknown,,,stringboxes,,,,,,,,,BRL,COMBINERBOX 6E-6S 1100DC,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00007,COMBINER BOX 1500VCC 8 IN DB SUNGROW,Sungrow,,,stringboxes,,,,,,,,,BRL,COMBINER BOX 1500VCC 8 IN DB SUNGROW,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00006,STRING BOX CLAMPER SB1040V 32A 2E/2S,Clamper,,,stringboxes,,,,,,,,,BRL,STRING BOX CLAMPER SB1040V 32A 2E/2S,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00005,PVS-16MH - COMBINER BOX - 1500VDC,Unknown,,,stringboxes,,,,,,,,,BRL,PVS-16MH - COMBINER BOX - 1500VDC,,,,,,,,,,,
Fortlev,fortlev_stringboxes_ISB00004,STRING BOX 1000 3-4E/2S,Unknown,,,stringboxes,,,,,,,,,BRL,STRING BOX 1000 3-4E/2S,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-2E,String Box Clamper 2 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 2 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-4E,String Box Clamper 4 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 4 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-6E,String Box Clamper 6 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 6 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-8E,String Box Clamper 8 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 8 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-10E,String Box Clamper 10 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 10 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-CLAMPER-12E,String Box Clamper 12 Entradas,Clamper,,,stringboxes,,,,,,,,,BRL,String Box Clamper 12 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-4E,String Box Tecbox 4 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 4 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-6E,String Box Tecbox 6 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 6 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-8E,String Box Tecbox 8 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 8 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-10E,String Box Tecbox 10 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 10 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-12E,String Box Tecbox 12 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 12 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-16E,String Box Tecbox 16 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 16 Entradas,,,,,,,,,,,
Odex,odex_inverters_ODEX-STRINGBOX-TECBOX-20E,String Box Tecbox 20 Entradas,Tecbox,,,stringboxes,,,,,,,,,BRL,String Box Tecbox 20 Entradas,,,,,,,,,,,
