distributor,id,name,manufacturer,model,sku,category,type,price_brl,power_kw,power_w,voltage_v,current_a,efficiency_percent,certifications,currency,description,height_mm,image_url,length_mm,price_per_unit,stock_available,stock_quantity,tags,voltage_range,warranty_years,weight_kg,width_mm
Fortlev,fortlev_structures_IEF00243,"PERFIL SUPORTE SMART 2,70M",Unknown,,,structures,,,,,,,,,BRL,"PERFIL SUPORTE SMART 2,70M",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00302,"PERF ACAB US75X51X225 1,70MM S400GD ZM310 - ST1 -",Unknown,,,structures,,,,,,,,,BRL,"PERF ACAB US75X51X225 1,70MM S400GD ZM310 - ST1 -",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00221,"TESOURA 3300MM ESP 1,95 - FLS",Fls,,,structures,,,,,,,,,BRL,"TESOURA 3300MM ESP 1,95 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00220,"PILAR 2425MM ESP 1,95 - FLS",Fls,,,structures,,,,,,,,,BRL,"PILAR 2425MM ESP 1,95 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00242,"TESOURA 3700MM ESP 1,25 - FLS",Fls,,,structures,,,,,,,,,BRL,"TESOURA 3700MM ESP 1,25 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_ILS00026,"PERFIL Z - TERCA 4580MM ESP 1,2 - FLS",Fls,,,structures,,,,,,,,,BRL,"PERFIL Z - TERCA 4580MM ESP 1,2 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00238,GRAMPO DE ATERRAMENTO FLS,Fls,,,structures,,,,,,,,,BRL,GRAMPO DE ATERRAMENTO FLS,,,,,,,,,,,
Fortlev,fortlev_structures_ILS00025,"PERFIL Z - TERCA 2290MM ESP 1,2 - FLS",Fls,,,structures,,,,,,,,,BRL,"PERFIL Z - TERCA 2290MM ESP 1,2 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_ILS00024,"PERFIL Z - TERCA 3430MM ESP 1,2 - FLS",Fls,,,structures,,,,,,,,,BRL,"PERFIL Z - TERCA 3430MM ESP 1,2 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00216,"TERCA 3100MM ESP 1,25 - FLS",Fls,,,structures,,,,,,,,,BRL,"TERCA 3100MM ESP 1,25 - FLS",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00207,"PERFIL PLANO SMART 2,40",Unknown,,,structures,,,,,,,,,BRL,"PERFIL PLANO SMART 2,40",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00208,"PERFIL REFORCADO SMART 2,40",Unknown,,,structures,,,,,,,,,BRL,"PERFIL REFORCADO SMART 2,40",,,,,,,,,,,
Fortlev,fortlev_structures_ILS00019,LASTRO SOLAR PE V2 (FIXO 15 GRAUS),Unknown,,,structures,,,,,,,,,BRL,LASTRO SOLAR PE V2 (FIXO 15 GRAUS),,,,,,,,,,,
Fortlev,fortlev_structures_ILS00017,"PERFIL Z - TERCA 4580MM ESP 1,2",Unknown,,,structures,,,,,,,,,BRL,"PERFIL Z - TERCA 4580MM ESP 1,2",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00177,"MAO FRANCESA 1750 MM 1,95 ESP 38,10 D",Unknown,,,structures,,,,,,,,,BRL,"MAO FRANCESA 1750 MM 1,95 ESP 38,10 D",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00204,"PERFIL SUPORTE SMART 4,8M",Unknown,,,structures,,,,,,,,,BRL,"PERFIL SUPORTE SMART 4,8M",,,,,,,,,,,
Fortlev,fortlev_structures_IEF00203,"PERFIL SUPORTE SMART 2,40M",Unknown,,,structures,,,,,,,,,BRL,"PERFIL SUPORTE SMART 2,40M",,,,,,,,,,,
Fortlev,fortlev_structures_ILS00010,GRAMPO INTERMEDIÁRIO GALVANIZADO,Unknown,,,structures,,,,,,,,,BRL,GRAMPO INTERMEDIÁRIO GALVANIZADO,,,,,,,,,,,
Fortlev,fortlev_structures_ILS00008,PARAFUSO SEXTAVADO M6X12 INOX,Unknown,,,structures,,,,,,,,,BRL,PARAFUSO SEXTAVADO M6X12 INOX,,,,,,,,,,,
