Category,Manufacturer,Model,Specs,Datasheet Query,Certification Query
Panel,SOLAR N PLUS,PLUS,570W N-Type Bifacial,SOLAR N PLUS PLUS solar panel datasheet,SOLAR N PLUS PLUS INMETRO certification
Panel,TRINA,TRINA,710W N-Type Bifacial,TRINA TRINA solar panel datasheet,TRINA TRINA INMETRO certification
Panel,ASTRONERGY,ASTRONERGY,600W N-Type Bifacial,ASTRONERGY ASTRONERGY solar panel datasheet,ASTRONERGY ASTRONERGY INMETRO certification
Panel,HANERSUN,HN18N-72H,NoneW,HANERSUN HN18N-72H solar panel datasheet,HANERSUN HN18N-72H INMETRO certification
Panel,HANERSUN,HN21H-66HT,NoneW HJT,HANERSUN HN21H-66HT solar panel datasheet,HANERSUN HN21H-66HT INMETRO certification
Panel,DAH,DHN-72X16/DG,NoneW,DAH DHN-72X16/DG solar panel datasheet,DAH DHN-72X16/DG INMETRO certification
Panel,MINASOL,MS-545,NoneW,MINASOL MS-545 solar panel datasheet,MINASOL MS-545 INMETRO certification
Panel,ENPHASE,MONO 220V,NoneW Monocrystalline,ENPHASE MONO 220V solar panel datasheet,ENPHASE MONO 220V INMETRO certification
Panel,GOODWE,GW2000-MIS,NoneW Monocrystalline,GOODWE GW2000-MIS solar panel datasheet,GOODWE GW2000-MIS INMETRO certification
Panel,GOODWE,GW3300-XS-30,NoneW Monocrystalline,GOODWE GW3300-XS-30 solar panel datasheet,GOODWE GW3300-XS-30 INMETRO certification
Panel,GOODWE,GW5000-DNS-30,NoneW Monocrystalline,GOODWE GW5000-DNS-30 solar panel datasheet,GOODWE GW5000-DNS-30 INMETRO certification
Panel,GOODWE,GW8000-MS-C30,NoneW Monocrystalline,GOODWE GW8000-MS-C30 solar panel datasheet,GOODWE GW8000-MS-C30 INMETRO certification
Panel,GOODWE,GW10K-MS-30,NoneW Monocrystalline,GOODWE GW10K-MS-30 solar panel datasheet,GOODWE GW10K-MS-30 INMETRO certification
Panel,GOODWE,GW10K-MS-G40,NoneW Monocrystalline,GOODWE GW10K-MS-G40 solar panel datasheet,GOODWE GW10K-MS-G40 INMETRO certification
Panel,GOODWE,GW12KLV-SDT-C30,NoneW,GOODWE GW12KLV-SDT-C30 solar panel datasheet,GOODWE GW12KLV-SDT-C30 INMETRO certification
Panel,GOODWE,GW20K-SDT-31,NoneW,GOODWE GW20K-SDT-31 solar panel datasheet,GOODWE GW20K-SDT-31 INMETRO certification
Panel,GOODWE,GW12KLV-SDT-C31,NoneW,GOODWE GW12KLV-SDT-C31 solar panel datasheet,GOODWE GW12KLV-SDT-C31 INMETRO certification
Panel,GOODWE,GW25K-SDT-P31,NoneW,GOODWE GW25K-SDT-P31 solar panel datasheet,GOODWE GW25K-SDT-P31 INMETRO certification
Panel,GOODWE,GW12KLV-MT,NoneW,GOODWE GW12KLV-MT solar panel datasheet,GOODWE GW12KLV-MT INMETRO certification
Panel,GOODWE,GW6000-ES-BR20,NoneW Monocrystalline,GOODWE GW6000-ES-BR20 solar panel datasheet,GOODWE GW6000-ES-BR20 INMETRO certification
Panel,GOODWE,GW6000-SBP-20,NoneW Monocrystalline,GOODWE GW6000-SBP-20 solar panel datasheet,GOODWE GW6000-SBP-20 INMETRO certification
Panel,GOODWE,GW15KLV-MT-,NoneW,GOODWE GW15KLV-MT- solar panel datasheet,GOODWE GW15KLV-MT- INMETRO certification
Panel,GOODWE,GW30K-SDT-C30,NoneW,GOODWE GW30K-SDT-C30 solar panel datasheet,GOODWE GW30K-SDT-C30 INMETRO certification
Panel,GOODWE,GW3600-ES-BR20,NoneW Monocrystalline,GOODWE GW3600-ES-BR20 solar panel datasheet,GOODWE GW3600-ES-BR20 INMETRO certification
Panel,GOODWE,GW36K-MT,NoneW,GOODWE GW36K-MT solar panel datasheet,GOODWE GW36K-MT INMETRO certification
Panel,GOODWE,GW37K5-SDT-BR30,NoneW,GOODWE GW37K5-SDT-BR30 solar panel datasheet,GOODWE GW37K5-SDT-BR30 INMETRO certification
Panel,GOODWE,GW17KLV-SDT-C30,NoneW,GOODWE GW17KLV-SDT-C30 solar panel datasheet,GOODWE GW17KLV-SDT-C30 INMETRO certification
Panel,GOODWE,GW3500L-ES-BR20,NoneW Monocrystalline,GOODWE GW3500L-ES-BR20 solar panel datasheet,GOODWE GW3500L-ES-BR20 INMETRO certification
Panel,GOODWE,GW20KLV-MT,NoneW,GOODWE GW20KLV-MT solar panel datasheet,GOODWE GW20KLV-MT INMETRO certification
Panel,GOODWE,GW50KS-MT,NoneW,GOODWE GW50KS-MT solar panel datasheet,GOODWE GW50KS-MT INMETRO certification
Panel,GOODWE,GW30KLS-MT,NoneW,GOODWE GW30KLS-MT solar panel datasheet,GOODWE GW30KLS-MT INMETRO certification
Panel,GOODWE,GW23KLV-SDT-BR30,NoneW,GOODWE GW23KLV-SDT-BR30 solar panel datasheet,GOODWE GW23KLV-SDT-BR30 INMETRO certification
Panel,GOODWE,GW60KBF-MT,NoneW Bifacial,GOODWE GW60KBF-MT solar panel datasheet,GOODWE GW60KBF-MT INMETRO certification
Panel,GOODWE,GW60KS-MT,NoneW,GOODWE GW60KS-MT solar panel datasheet,GOODWE GW60KS-MT INMETRO certification
Panel,GOODWE,GW35KLS-MT,NoneW,GOODWE GW35KLS-MT solar panel datasheet,GOODWE GW35KLS-MT INMETRO certification
Panel,GOODWE,GW10K-BT,NoneW,GOODWE GW10K-BT solar panel datasheet,GOODWE GW10K-BT INMETRO certification
Panel,GOODWE,GW75K-SMT,NoneW,GOODWE GW75K-SMT solar panel datasheet,GOODWE GW75K-SMT INMETRO certification
Panel,GOODWE,GW73KLV-HT,NoneW,GOODWE GW73KLV-HT solar panel datasheet,GOODWE GW73KLV-HT INMETRO certification
Panel,GOODWE,GW20K-ET,NoneW,GOODWE GW20K-ET solar panel datasheet,GOODWE GW20K-ET INMETRO certification
Panel,GOODWE,GW12KL-ET,NoneW,GOODWE GW12KL-ET solar panel datasheet,GOODWE GW12KL-ET INMETRO certification
Panel,GOODWE,GW15K-ET,NoneW,GOODWE GW15K-ET solar panel datasheet,GOODWE GW15K-ET INMETRO certification
Panel,GOODWE,GW100K-HT,NoneW,GOODWE GW100K-HT solar panel datasheet,GOODWE GW100K-HT INMETRO certification
Panel,GOODWE,GW100K-GT,NoneW,GOODWE GW100K-GT solar panel datasheet,GOODWE GW100K-GT INMETRO certification
Panel,GOODWE,GW110K-HT,NoneW,GOODWE GW110K-HT solar panel datasheet,GOODWE GW110K-HT INMETRO certification
Panel,GOODWE,GW30K-ET,NoneW,GOODWE GW30K-ET solar panel datasheet,GOODWE GW30K-ET INMETRO certification
Panel,GOODWE,GW250KN-HT,NoneW,GOODWE GW250KN-HT solar panel datasheet,GOODWE GW250KN-HT INMETRO certification
Panel,GOODWE,GW250KH-UT,NoneW,GOODWE GW250KH-UT solar panel datasheet,GOODWE GW250KH-UT INMETRO certification
Panel,GOODWE,GW250K-HT,NoneW,GOODWE GW250K-HT solar panel datasheet,GOODWE GW250K-HT INMETRO certification
Panel,DEYE,MONO 220V,NoneW Monocrystalline,DEYE MONO 220V solar panel datasheet,DEYE MONO 220V INMETRO certification
Panel,DEYE,KIT 25KW,NoneW,DEYE KIT 25KW solar panel datasheet,DEYE KIT 25KW INMETRO certification
Panel,DEYE,KIT 35KW,NoneW,DEYE KIT 35KW solar panel datasheet,DEYE KIT 35KW INMETRO certification
Panel,DEYE,EX 35KW,NoneW,DEYE EX 35KW solar panel datasheet,DEYE EX 35KW INMETRO certification
Panel,DEYE,KIT 50KW,NoneW,DEYE KIT 50KW solar panel datasheet,DEYE KIT 50KW INMETRO certification
Panel,DEYE,EX 50KW,NoneW,DEYE EX 50KW solar panel datasheet,DEYE EX 50KW INMETRO certification
Panel,DEYE,KIT 75KW,NoneW,DEYE KIT 75KW solar panel datasheet,DEYE KIT 75KW INMETRO certification
Panel,DEYE,EX 75KW,NoneW,DEYE EX 75KW solar panel datasheet,DEYE EX 75KW INMETRO certification
Panel,SOFAR,MONO 220V,NoneW Monocrystalline,SOFAR MONO 220V solar panel datasheet,SOFAR MONO 220V INMETRO certification
Panel,SOFAR,FOTOVOLTAICO 25KTLX-G3-LV,NoneW,SOFAR FOTOVOLTAICO 25KTLX-G3-LV solar panel datasheet,SOFAR FOTOVOLTAICO 25KTLX-G3-LV INMETRO certification
Panel,HUAWEI,SUN2000-3KTL-L1,NoneW Monocrystalline,HUAWEI SUN2000-3KTL-L1 solar panel datasheet,HUAWEI SUN2000-3KTL-L1 INMETRO certification
Panel,HUAWEI,SUN2000-4KTL-L1,NoneW Monocrystalline,HUAWEI SUN2000-4KTL-L1 solar panel datasheet,HUAWEI SUN2000-4KTL-L1 INMETRO certification
Panel,HUAWEI,SUN2000-10K-LC0,NoneW Monocrystalline,HUAWEI SUN2000-10K-LC0 solar panel datasheet,HUAWEI SUN2000-10K-LC0 INMETRO certification
Panel,HUAWEI,SUN2000-12K-MB0,NoneW,HUAWEI SUN2000-12K-MB0 solar panel datasheet,HUAWEI SUN2000-12K-MB0 INMETRO certification
Panel,HUAWEI,SUN2000-15K-MB0,NoneW,HUAWEI SUN2000-15K-MB0 solar panel datasheet,HUAWEI SUN2000-15K-MB0 INMETRO certification
Panel,GROWATT,MID 20KTL3,NoneW,GROWATT MID 20KTL3 solar panel datasheet,GROWATT MID 20KTL3 INMETRO certification
Panel,GROWATT,MID 25KTL3-X,NoneW,GROWATT MID 25KTL3-X solar panel datasheet,GROWATT MID 25KTL3-X INMETRO certification
Panel,GROWATT,MID 50KTL3-X2,NoneW,GROWATT MID 50KTL3-X2 solar panel datasheet,GROWATT MID 50KTL3-X2 INMETRO certification
Panel,GROWATT,MAC 36KTL3-XL,NoneW,GROWATT MAC 36KTL3-XL solar panel datasheet,GROWATT MAC 36KTL3-XL INMETRO certification
Panel,GROWATT,MAX 50KTL3-XL2,NoneW,GROWATT MAX 50KTL3-XL2 solar panel datasheet,GROWATT MAX 50KTL3-XL2 INMETRO certification
Panel,GROWATT,MAX 60KTL3-XL2,NoneW,GROWATT MAX 60KTL3-XL2 solar panel datasheet,GROWATT MAX 60KTL3-XL2 INMETRO certification
Panel,SOLFACIL,UPLFP48100,NoneW,SOLFACIL UPLFP48100 solar panel datasheet,SOLFACIL UPLFP48100 INMETRO certification
Inverter,DEYE,SUN-M225G4-EU-Q0-I,2.25kW 1F,DEYE SUN-M225G4-EU-Q0-I inverter datasheet,DEYE SUN-M225G4-EU-Q0-I INMETRO certification
Inverter,TSUNESS,TSOL-MX2250,2.25kW 1F,TSUNESS TSOL-MX2250 inverter datasheet,TSUNESS TSOL-MX2250 INMETRO certification
Inverter,Deye,DE 2250W,NonekW,Deye DE 2250W inverter datasheet,Deye DE 2250W INMETRO certification
Inverter,Deye,BRIDO 12KW,NonekW,Deye BRIDO 12KW inverter datasheet,Deye BRIDO 12KW INMETRO certification
Inverter,Deye,DE 2000W,NonekW,Deye DE 2000W inverter datasheet,Deye DE 2000W INMETRO certification
Inverter,Deye,BRIDO 12,NonekW,Deye BRIDO 12 inverter datasheet,Deye BRIDO 12 INMETRO certification
Inverter,Inversor,INVERSOR 2000W,NonekW,Inversor INVERSOR 2000W inverter datasheet,Inversor INVERSOR 2000W INMETRO certification
Inverter,Kit,DE 04,NonekW,Kit DE 04 inverter datasheet,Kit DE 04 INMETRO certification
Controller,Epever,PWM-10A,PWM 10A,Epever PWM-10A PWM controller datasheet,Epever PWM-10A certification
Controller,Epever,MPPT-30A,MPPT 30A,Epever MPPT-30A MPPT controller datasheet,Epever MPPT-30A certification
Controller,Epever,MPPT-40A,MPPT 40A,Epever MPPT-40A MPPT controller datasheet,Epever MPPT-40A certification
Controller,Epever,PWM-20A,PWM 20A,Epever PWM-20A PWM controller datasheet,Epever PWM-20A certification
Controller,Epever,PWM-60A,PWM 60A,Epever PWM-60A PWM controller datasheet,Epever PWM-60A certification
Controller,Epever,MPPT-20A,MPPT 20A,Epever MPPT-20A MPPT controller datasheet,Epever MPPT-20A certification
Controller,Epever,PWM-30A,PWM 30A,Epever PWM-30A PWM controller datasheet,Epever PWM-30A certification
Controller,Epever,PWM-45A,PWM 45A,Epever PWM-45A PWM controller datasheet,Epever PWM-45A certification
Controller,5Kw,MPPT-UNKNOWN,MPPT Unknown,5Kw MPPT-UNKNOWN MPPT controller datasheet,5Kw MPPT-UNKNOWN certification
Controller,"10,0Kw",MPPT-UNKNOWN,MPPT Unknown,"10,0Kw MPPT-UNKNOWN MPPT controller datasheet","10,0Kw MPPT-UNKNOWN certification"
Controller,"7,5Kw",MPPT-UNKNOWN,MPPT Unknown,"7,5Kw MPPT-UNKNOWN MPPT controller datasheet","7,5Kw MPPT-UNKNOWN certification"
Controller,10Kw,MPPT-UNKNOWN,MPPT Unknown,10Kw MPPT-UNKNOWN MPPT controller datasheet,10Kw MPPT-UNKNOWN certification
Controller,6Kw,MPPT-UNKNOWN,MPPT Unknown,6Kw MPPT-UNKNOWN MPPT controller datasheet,6Kw MPPT-UNKNOWN certification
Controller,20A,PWM-20A,PWM 20A,20A PWM-20A PWM controller datasheet,20A PWM-20A certification
Controller,10A,PWM-10A,PWM 10A,10A PWM-10A PWM controller datasheet,10A PWM-10A certification
Controller,Composição:,MPPT-UNKNOWN,MPPT Unknown,Composição: MPPT-UNKNOWN MPPT controller datasheet,Composição: MPPT-UNKNOWN certification
Controller,Composição:,PWM-UNKNOWN,PWM Unknown,Composição: PWM-UNKNOWN PWM controller datasheet,Composição: PWM-UNKNOWN certification
Controller,"5,0Kw",MPPT-UNKNOWN,MPPT Unknown,"5,0Kw MPPT-UNKNOWN MPPT controller datasheet","5,0Kw MPPT-UNKNOWN certification"
Controller,Sunova,SS-550,MPPT Unknown,Sunova SS-550 MPPT controller datasheet,Sunova SS-550 certification
Controller,"6,0Kw",MPPT-UNKNOWN,MPPT Unknown,"6,0Kw MPPT-UNKNOWN MPPT controller datasheet","6,0Kw MPPT-UNKNOWN certification"
Battery,Freedom,105AH/12V,105Ah 12V Lead-Acid,Freedom 105AH/12V battery datasheet,Freedom 105AH/12V INMETRO certification
Battery,Freedom,150AH/12V,150Ah 12V Lead-Acid,Freedom 150AH/12V battery datasheet,Freedom 150AH/12V INMETRO certification
Battery,Freedom,45AH/12V,45Ah 12V Lead-Acid,Freedom 45AH/12V battery datasheet,Freedom 45AH/12V INMETRO certification
Battery,Freedom,220AH/12V,220Ah 12V Lead-Acid,Freedom 220AH/12V battery datasheet,Freedom 220AH/12V INMETRO certification
Battery,Freedom,220AH/48V,220Ah 48V Lead-Acid,Freedom 220AH/48V battery datasheet,Freedom 220AH/48V INMETRO certification
Battery,Unipower,100AH/48V,100Ah 48V,Unipower 100AH/48V battery datasheet,Unipower 100AH/48V INMETRO certification
Battery,Moura,220AH/12V,220Ah 12V Lead-Acid,Moura 220AH/12V battery datasheet,Moura 220AH/12V INMETRO certification
Battery,Moura,220AH/48V,220Ah 48V Lead-Acid,Moura 220AH/48V battery datasheet,Moura 220AH/48V INMETRO certification
Battery,Epever,100AH/48V,100Ah 48V,Epever 100AH/48V battery datasheet,Epever 100AH/48V INMETRO certification
Battery,Epever,100AH/6V,100Ah 6V,Epever 100AH/6V battery datasheet,Epever 100AH/6V INMETRO certification
Battery,Epever,100AH/12V,100Ah 12V,Epever 100AH/12V battery datasheet,Epever 100AH/12V INMETRO certification
Battery,Ztroon,100AH/48V,100Ah 48V,Ztroon 100AH/48V battery datasheet,Ztroon 100AH/48V INMETRO certification
Battery,Ztroon,105AH/48V,105Ah 48V,Ztroon 105AH/48V battery datasheet,Ztroon 105AH/48V INMETRO certification
Battery,Ucb,100AH/48V,100Ah 48V,Ucb 100AH/48V battery datasheet,Ucb 100AH/48V INMETRO certification
Battery,1X,105AH/12V,105Ah 12V Lead-Acid,1X 105AH/12V battery datasheet,1X 105AH/12V INMETRO certification
Battery,1X,240AH/12V,240Ah 12V Lead-Acid,1X 240AH/12V battery datasheet,1X 240AH/12V INMETRO certification
Battery,1X,165AH/12V,165Ah 12V Lead-Acid,1X 165AH/12V battery datasheet,1X 165AH/12V INMETRO certification
Battery,1X,105AH/48V,105Ah 48V,1X 105AH/48V battery datasheet,1X 105AH/48V INMETRO certification
Battery,1X,150AH/12V,150Ah 12V Lead-Acid,1X 150AH/12V battery datasheet,1X 150AH/12V INMETRO certification
Battery,220Ah/12V,220AH/12V,220Ah 12V Lead-Acid,220Ah/12V 220AH/12V battery datasheet,220Ah/12V 220AH/12V INMETRO certification
Battery,2X,240AH/12V,240Ah 12V Lead-Acid,2X 240AH/12V battery datasheet,2X 240AH/12V INMETRO certification
Battery,2X,105AH/48V,105Ah 48V,2X 105AH/48V battery datasheet,2X 105AH/48V INMETRO certification
Battery,3X,240AH/12V,240Ah 12V Lead-Acid,3X 240AH/12V battery datasheet,3X 240AH/12V INMETRO certification
Battery,3X,105AH/48V,105Ah 48V,3X 105AH/48V battery datasheet,3X 105AH/48V INMETRO certification
