CNPJ;Sigla;Razão Social;Ativo;Distribuição;Geração;Transmissão;Comercialização;Estados Atendidos;Total Municípios;Lat Mínima;Lat Máxima;Lng Mínima;Lng Máxima;Lat Centro;Lng Centro;Tarifa Vigência Início;Tarifa Vigência Fim;Tarifa Modalidade;Tarifa Valor kWh;Projetos GD Total;Projetos GD Classe;Projetos GD Tipos;Mercado Anual Estimado
2030715000112;ANATEL;AGENCIA NACIONAL DE TELECOMUNICACOES;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
7007955000110;ADASA;AGENCIA REGULADORA DE AGUAS, ENERGIA E SANEAMENTO BASICO DO DISTRITO FEDERAL - ADASA;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
2341467000120;AME;AMAZONAS ENERGIA S.A;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
33050071000158;ENEL RJ;AMPLA ENERGIA E SERVICOS S.A.;Sim;Sim;Sim;Não;Sim;SP, CE, RJ, GO;515;-24.5505;-2.7172;-50.2648;-37.5434;-16.71535;-44.4036;;;;;45000.0;;;R$ 20.25M
40059387000176;;BOQUEIRAO ENERGIA LTDA;Sim;Sim;Sim;Não;Sim;;0;;;;;;;;;;;;;;
9497818000217;;CANDEIAS ENERGIA S.A.;Sim;Sim;Sim;Sim;Sim;;0;;;;;;;;;;;;;;
85665990000130;CEJAMA;CEJAMA - COOPERATIVA DE ELETRICIDADE JACINTO MACHADO;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
8336783000190;CELESC;CELESC DISTRIBUICAO S.A;Sim;Sim;Não;Não;Não;SC;295;-28.5954;-26.5954;-49.548;-47.548;-27.5954;-48.548;;;;;18000.0;;;R$ 8.1M
8336783000948;;CELESC DISTRIBUICAO S.A;Sim;Sim;Não;Não;Não;SC;295;-28.5954;-26.5954;-49.548;-47.548;-27.5954;-48.548;;;;;18000.0;;;R$ 8.1M
6981180000116;CEMIG-D;CEMIG DISTRIBUICAO S.A;Sim;Sim;Não;Não;Não;MG;774;-20.9167;-18.9167;-44.9345;-42.9345;-19.9167;-43.9345;;;;;38000.0;;;R$ 17.1M
88446034000155;ELETROCAR;CENTRAIS ELETRICAS DE CARAZINHO SA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
9364804000144;Ceraçá;CERACA - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARACA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
28610236000169;CERAL ARARUAMA;CERAL COOPERATIVA DE ELTRIF RURAL DE ARARUAMA LTDA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
97505838000179;CERFOX;CERFOX - COOPERATIVA DE DISTRIBUICAO DE ENERGIA FONTOURA XAVIER;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
86512670000102;CERSUL;CERSUL - COOPERATIVA DE DISTRIBUICAO DE ENERGIA;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
3487121000106;COESO;COESO - COOPERATIVA DE ENERGIZACAO E DESENVOLVIMENTO RURAL DO SUDOESTE SULMATOGROSSENSE;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
75805895000130;COCEL;COMPANHIA CAMPOLARGUENSE DE ENERGIA COCEL;Sim;Sim;Não;Não;Não;;0;;;;;;;;;;;;;;
5965546000109;CEA;COMPANHIA DE ELETRICIDADE DO AMAPA CEA;Sim;Sim;Sim;Não;Não;;0;;;;;;;;;;;;;;
15139629000194;COELBA;COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA;Sim;Sim;Sim;Não;Não;BA;415;-13.9777;-11.9777;-39.5016;-37.5016;-12.9777;-38.5016;;;;;24000.0;;;R$ 10.8M
17155730000164;CEMIG;COMPANHIA ENERGETICA DE MINAS GERAIS-CEMIG;Sim;Sim;Sim;Sim;Sim;MG;774;-20.9167;-18.9167;-44.9345;-42.9345;-19.9167;-43.9345;;;;;38000.0;;;R$ 17.1M
