dataset-heading,dataset-heading href,dataset-content,label,label 2,label 3,label 4,label href 4
Reuniões Públicas da Diretoria,https://dadosabertos.aneel.gov.br/dataset/reunioes-publicas-da-diretoria,"Armazena a quantidade de reuniões ordinárias e extraordinárias por período.
As Reuniões Públicas Ordinárias (RPO) da Diretoria são semanais e as Reuniões Públicas...",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/reunioes-publicas-da-diretoria
Tarifa Social de Energia Elétrica – Beneficiários (descontinuado),https://dadosabertos.aneel.gov.br/dataset/tarifa-social-de-energia-eletrica-beneficiarios,"Conjunto de dados substituído pelo 
Histórico da quantidade de Unidades Consumidoras e Residencial Baixa-Renda dos...",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/tarifa-social-de-energia-eletrica-beneficiarios
"Projetos Res n° 316/2008, 219/2006 e anteriores (descontinuado)",https://dadosabertos.aneel.gov.br/dataset/projetos-res-n-316-2008-219-2006-e-anteriores,"Dados históricos de projetos por ciclos anuais, expresso em quantidades e valores, de 1999 até 2007.",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/projetos-res-n-316-2008-219-2006-e-anteriores
Indicadores Quantitativos da Fiscalização (descontinuado),https://dadosabertos.aneel.gov.br/dataset/indicadores-quantitativos-modelo-vigente-ate-2015,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Indicadores históricos quantitativos de fiscalizações realizadas pela ANEEL de 1998 até 2016.
Modelo...",CSV,XML,JSON,,
Fiscalizaçao da Transmissão e Distribuição (descontinuado),https://dadosabertos.aneel.gov.br/dataset/transmissao-e-distribuicao,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização da transmissão e distribuição realizadas pela...",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/transmissao-e-distribuicao
Fiscalização da Geração (descontinuado),https://dadosabertos.aneel.gov.br/dataset/geracao,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização da geração realizadas pela ANEEL de 2012 a 2018.",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/geracao
Fiscalização Econômica e Financeira (descontinuado),https://dadosabertos.aneel.gov.br/dataset/fiscalizacao-economica-e-financeira,"Para dados a partir de 2018, buscar Termo de Notificação e Auto de Infração 
Histórico dos totais de quantidades de fiscalização econômica e financeira realizadas pela ANEEL de...",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/fiscalizacao-economica-e-financeira
Autos de infração cadastrados pelas áreas de fiscalização (descontinuado),https://dadosabertos.aneel.gov.br/dataset/autos-de-infracao-cadastrados-pelas-areas-de-fiscalizacao-modelo-vigente-ate-2015,"Para dados a partir de 2018, buscar Auto de Infração .
Histórico de quantidades de autos de infração cadastrados e valores correspondentes em Reais de 1998 até 2017.
Modelo...",CSV,XML,JSON,,
Compensação Financeira / Royalties,https://dadosabertos.aneel.gov.br/dataset/compensacao-financeira-royalties,"Histórico de valores apurados em Reais dos percentuais definidos por lei para compensação financeira aos Estados, Municípios e outras entidades relativos à utilização de...",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/compensacao-financeira-royalties
Projetos de P&D – temas estratégicos (descontinuado),https://dadosabertos.aneel.gov.br/dataset/projetos-de-p-d-temas-estrategicos,"Substituído pelo conjunto de dados Projetos de P&D em Energia Elétrica
Projetos de temas estratégicos publicados a partir da Res. Normativa ANEEL nº 316/2008.",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/projetos-de-p-d-temas-estrategicos
"Projetos, Retornos e Investimentos (descontinuado)",https://dadosabertos.aneel.gov.br/dataset/projetos-retornos-e-investimentos,"Substituído pelo conjunto de dados Projetos de Eficiência Energética.
Série histórica de Indicadores Quantitativos de projetos, demanda retirada de ponta em MW, Economias e outros",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/projetos-retornos-e-investimentos
Projetos por tipologia (descontinuado),https://dadosabertos.aneel.gov.br/dataset/projetos-por-tipologia,"Substituído pelo conjunto de dados Projetos de Eficiência Energética.
Quantidade acumulada de projetos, valores de demanda de retirada de ponta em MW, Economias e Investimentos.",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/projetos-por-tipologia
Desempenho das concessionárias de transmissão,https://dadosabertos.aneel.gov.br/dataset/desempenho-das-concessionarias-de-transmissao,"Valores deduzidos das receitas das concessionárias em Reais, em virtude de indisponibilidade por desligamentos intempestivos.",PDF,CSV,XML,JSON,https://dadosabertos.aneel.gov.br/dataset/desempenho-das-concessionarias-de-transmissao
