SKU,Categoria,Fabricante,Num_Ofertas,Melhor_Preco,Pior_Preco,Preco_Medio,Variacao_%,Distribuidores
FOTUSKP04798KWPMINITRILHOKITS,kits,unknown,3,120.22,35935.00,12068.40,29791.03,"YSH Internal:R$120.22; YSH B2C:R$149.99; Estimated:R$35935.00"
FOTUSKP041026KWPMINITRILHOKITS,kits,unknown,3,168.47,46195.00,15524.81,27320.31,"YSH Internal:R$168.47; YSH B2C:R$210.95; Estimated:R$46195.00"
GOODWEGW37K5SDTBR30AFCIIMAGEPRODUCT600350,componentes,GOODWE,3,171.75,28890.00,9758.90,16720.96,"YSH Internal:R$171.75; YSH B2C:R$214.95; Estimated:R$28890.00"
FOTUSKP021278KWPFIBROCIMENTOKITS,kits,unknown,3,527.11,57535.00,19573.70,10815.18,"YSH Internal:R$527.11; YSH B2C:R$659.00; Estimated:R$57535.00"
GOODWEGW75KSMTAFCIIMAGEPRODUCT600328,componentes,GOODWE,3,571.42,56250.00,19178.47,9743.90,"YSH Internal:R$571.42; YSH B2C:R$713.99; Estimated:R$56250.00"
GOODWEGW35KLSMTIMAGEPRODUCT600109,componentes,GOODWE,3,291.07,27450.00,9368.36,9330.72,"YSH Internal:R$291.07; YSH B2C:R$364.00; Estimated:R$27450.00"
FOTUSKP03710KWPFIBROCIMENTOKITS,kits,unknown,3,366.40,31975.00,10933.13,8626.80,"YSH Internal:R$366.40; YSH B2C:R$457.99; Estimated:R$31975.00"
FOTUSKP041482KWPFIBROCIMENTOKITS,kits,unknown,3,801.68,66715.00,22839.56,8221.90,"YSH Internal:R$801.68; YSH B2C:R$1001.99; Estimated:R$66715.00"
GOODWEGW35KLSMTAFCIIMAGE,componentes,GOODWE,3,331.17,27450.00,9398.39,8188.79,"YSH Internal:R$331.17; YSH B2C:R$414.00; Estimated:R$27450.00"
NEOSOLARCABLES25205,componentes,unknown,3,180.00,12595.95,7617.50,6897.75,"Estimated:R$180.00; YSH Internal:R$10076.56; YSH B2C:R$12595.95"
NEOSOLARCABLES20128,componentes,unknown,3,180.00,12431.95,7519.07,6806.64,"Estimated:R$180.00; YSH Internal:R$9945.25; YSH B2C:R$12431.95"
FOTUSKP021065KWPFIBROCIMENTOKITS,kits,unknown,3,697.41,47950.00,16506.47,6775.44,"YSH Internal:R$697.41; YSH B2C:R$872.00; Estimated:R$47950.00"
IMAGEPRODUCT052128,componentes,unknown,3,180.00,12090.99,7314.60,6617.22,"Estimated:R$180.00; YSH Internal:R$9672.81; YSH B2C:R$12090.99"
NEOSOLARCABLES23503,componentes,unknown,3,180.00,11713.99,7088.43,6407.77,"Estimated:R$180.00; YSH Internal:R$9371.31; YSH B2C:R$11713.99"
NEOSOLARCABLES20122,componentes,unknown,3,180.00,11652.99,7051.90,6373.88,"Estimated:R$180.00; YSH Internal:R$9322.70; YSH B2C:R$11652.99"
NEOSOLARCABLES20142,componentes,unknown,3,180.00,10868.95,6581.29,5938.31,"Estimated:R$180.00; YSH Internal:R$8694.91; YSH B2C:R$10868.95"
IMAGEPRODUCT052117,componentes,unknown,3,180.00,10863.99,6578.50,5935.55,"Estimated:R$180.00; YSH Internal:R$8691.51; YSH B2C:R$10863.99"
FOTUSKP041026KWPFIBROCIMENTOKITS,kits,unknown,3,783.78,46195.00,15986.24,5793.87,"YSH Internal:R$783.78; YSH B2C:R$979.95; Estimated:R$46195.00"
NEOSOLARCABLES21998,componentes,unknown,3,180.00,10575.00,6404.97,5775.00,"Estimated:R$180.00; YSH Internal:R$8459.92; YSH B2C:R$10575.00"
NEOSOLARCABLES20121,componentes,unknown,3,180.00,10387.49,6292.49,5670.83,"Estimated:R$180.00; YSH Internal:R$8309.98; YSH B2C:R$10387.49"
IMAGEPRODUCT052127,componentes,unknown,3,180.00,10371.95,6283.08,5662.19,"Estimated:R$180.00; YSH Internal:R$8297.29; YSH B2C:R$10371.95"
NEOSOLARCABLES20286,componentes,unknown,3,180.00,10319.95,6251.89,5633.31,"Estimated:R$180.00; YSH Internal:R$8255.71; YSH B2C:R$10319.95"
IMAGEPRODUCT052121,componentes,unknown,3,180.00,10235.95,6201.46,5586.64,"Estimated:R$180.00; YSH Internal:R$8188.44; YSH B2C:R$10235.95"
FOTUSKP02568KWPFIBROCIMENTOKITS,kits,unknown,3,451.20,25585.00,8866.73,5570.43,"YSH Internal:R$451.20; YSH B2C:R$563.99; Estimated:R$25585.00"
IMAGEPRODUCT052124,componentes,unknown,3,180.00,9821.95,5953.11,5356.64,"Estimated:R$180.00; YSH Internal:R$7857.38; YSH B2C:R$9821.95"
NEOSOLARCABLES20131,componentes,unknown,3,180.00,9528.99,5777.47,5193.88,"Estimated:R$180.00; YSH Internal:R$7623.42; YSH B2C:R$9528.99"
NEOSOLARCABLES21771,componentes,unknown,3,180.00,9402.00,5701.16,5123.33,"Estimated:R$180.00; YSH Internal:R$7521.48; YSH B2C:R$9402.00"
FOTUSKP04684KWPFIBROCIMENTOKITS,kits,unknown,3,598.11,30805.00,10717.02,5050.39,"YSH Internal:R$598.11; YSH B2C:R$747.95; Estimated:R$30805.00"
IMAGEPRODUCT052113,componentes,unknown,3,180.00,9141.00,5544.55,4978.33,"Estimated:R$180.00; YSH Internal:R$7312.65; YSH B2C:R$9141.00"
NEOSOLARCABLES23054,componentes,unknown,3,180.00,8854.95,5372.90,4819.42,"Estimated:R$180.00; YSH Internal:R$7083.74; YSH B2C:R$8854.95"
NEOSOLARCABLES23504,componentes,unknown,3,180.00,8792.95,5335.66,4784.97,"Estimated:R$180.00; YSH Internal:R$7034.02; YSH B2C:R$8792.95"
NEOSOLARCABLES21769,componentes,unknown,3,180.00,8620.00,5231.94,4688.89,"Estimated:R$180.00; YSH Internal:R$6895.83; YSH B2C:R$8620.00"
NEOSOLARCABLES20139,componentes,unknown,3,180.00,8034.99,4881.04,4363.88,"Estimated:R$180.00; YSH Internal:R$6428.14; YSH B2C:R$8034.99"
NEOSOLARCABLES23780,componentes,unknown,3,180.00,7858.00,4774.74,4265.56,"Estimated:R$180.00; YSH Internal:R$6286.22; YSH B2C:R$7858.00"
NEOSOLARCABLES20078,componentes,unknown,3,180.00,7524.95,4574.89,4080.53,"Estimated:R$180.00; YSH Internal:R$6019.72; YSH B2C:R$7524.95"
NEOSOLARCABLES20925,componentes,unknown,3,180.00,7184.95,4370.87,3891.64,"Estimated:R$180.00; YSH Internal:R$5747.66; YSH B2C:R$7184.95"
FOTUSKP041368KWPMINITRILHOKITS,kits,unknown,3,1556.57,61585.00,21695.84,3856.46,"YSH Internal:R$1556.57; YSH B2C:R$1945.95; Estimated:R$61585.00"
IMAGEPRODUCT052130,componentes,unknown,3,180.00,7037.49,4282.49,3809.72,"Estimated:R$180.00; YSH Internal:R$5629.97; YSH B2C:R$7037.49"
NEOSOLARCABLES23052,componentes,unknown,3,180.00,6775.95,4125.49,3664.42,"Estimated:R$180.00; YSH Internal:R$5420.51; YSH B2C:R$6775.95"
NEOSOLARCABLES20789,componentes,unknown,3,180.00,6768.99,4121.45,3660.55,"Estimated:R$180.00; YSH Internal:R$5415.37; YSH B2C:R$6768.99"
GROWATTMID50KTL3X2AFCIIMAGEPRODUCT600314,componentes,GROWATT,3,385.13,14016.63,4961.08,3539.45,"YSH Internal:R$385.13; YSH B2C:R$481.49; N/A:R$14016.63"
IMAGEPRODUCT052129,componentes,unknown,3,180.00,6398.99,3899.48,3454.99,"Estimated:R$180.00; YSH Internal:R$5119.44; YSH B2C:R$6398.99"
NEOSOLARCABLES20134,componentes,unknown,3,180.00,6233.49,3800.09,3363.05,"Estimated:R$180.00; YSH Internal:R$4986.77; YSH B2C:R$6233.49"
NEOSOLARCABLES20135,componentes,unknown,3,180.00,6203.99,3782.48,3346.66,"Estimated:R$180.00; YSH Internal:R$4963.46; YSH B2C:R$6203.99"
FOTUSKP04855KWPFIBROCIMENTOKITS,kits,unknown,3,1152.63,38500.00,13697.88,3240.19,"YSH Internal:R$1152.63; YSH B2C:R$1441.00; Estimated:R$38500.00"
NEOSOLARCABLES21772,componentes,unknown,3,180.00,5800.95,3540.51,3122.75,"Estimated:R$180.00; YSH Internal:R$4640.58; YSH B2C:R$5800.95"
ODEXODEXINVGROWATT6000W1,componentes,unknown,3,465.94,14016.63,5021.69,2908.25,"YSH Internal:R$465.94; YSH B2C:R$582.49; N/A:R$14016.63"
NEOSOLARCABLES23505,componentes,unknown,3,180.00,5397.00,3298.19,2898.33,"Estimated:R$180.00; YSH Internal:R$4317.58; YSH B2C:R$5397.00"
FOTUSKP04720KWPFIBROCIMENTOKITSHIBRIDOS,kits,unknown,3,1301.63,38910.00,13946.21,2889.33,"YSH Internal:R$1301.63; YSH B2C:R$1626.99; Estimated:R$38910.00"
FOTUSKP04912KWPCERAMICOKITS,kits,unknown,3,1374.81,41065.00,14719.59,2886.96,"YSH Internal:R$1374.81; YSH B2C:R$1718.95; Estimated:R$41065.00"
FOTUSKP04570KWPCERAMICOKITS,kits,unknown,3,873.19,25675.00,9213.23,2840.37,"YSH Internal:R$873.19; YSH B2C:R$1091.49; Estimated:R$25675.00"
IMAGEPRODUCT052125,componentes,unknown,3,180.00,5290.95,3234.49,2839.42,"Estimated:R$180.00; YSH Internal:R$4232.53; YSH B2C:R$5290.95"
FOTUSKP02960KWPMINITRILHOKITS,kits,unknown,3,1520.59,43225.00,15548.85,2742.65,"YSH Internal:R$1520.59; YSH B2C:R$1900.95; Estimated:R$43225.00"
GOODWEGW100KGTAFCIIMAGEPRODUCT600342,componentes,GOODWE,3,2686.59,74250.00,26764.86,2663.73,"YSH Internal:R$2686.59; YSH B2C:R$3357.99; Estimated:R$74250.00"
FOTUSKP04600KWPMINITRILHOKITS,kits,unknown,3,984.19,27025.00,9746.39,2645.91,"YSH Internal:R$984.19; YSH B2C:R$1229.99; Estimated:R$27025.00"
