SKU,Categoria,Custo,Preco_Final,Markup_Base_%,Ajuste_%,Markup_Final_%,Margem_Bruta_%,Margem_Liquida_%,Cenario,Canal,Desconto_Canal,Charm_Pricing,Confianca,Ajuste_Tempo,Ajuste_Estoque,Ajuste_Competicao,Ajuste_Segmento,Ajuste_Urgencia,Total_Ajustes
FOTUSKP021704KWPCERAMICOKITS,kits,5324.30,6654.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021704KWPFIBROCIMENTOKITS,kits,4228.69,5286.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021704KWPMINITRILHOKITS,kits,9050.68,11312.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041596KWPCERAMICOKITS,kits,3502.15,4377.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041596KWPFIBROCIMENTOKITS,kits,6116.83,7645.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041596KWPMINITRILHOKITS,kits,2812.79,3516.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041482KWPCERAMICOKITS,kits,4065.52,5082.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041482KWPFIBROCIMENTOKITS,kits,801.68,1001.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041482KWPMINITRILHOKITS,kits,7798.83,9748.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041368KWPCERAMICOKITS,kits,9933.10,12415.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041368KWPFIBROCIMENTOKITS,kits,3646.55,4557.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041368KWPMINITRILHOKITS,kits,1556.57,1945.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041311KWPCERAMICOKITS,kits,7185.02,8980.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041311KWPFIBROCIMENTOKITS,kits,3168.92,3960.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041311KWPMINITRILHOKITS,kits,4131.40,5163.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021278KWPCERAMICOKITS,kits,3215.92,4020.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021278KWPFIBROCIMENTOKITS,kits,527.11,659.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021278KWPMINITRILHOKITS,kits,7014.59,8767.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041254KWPCERAMICOKITS,kits,4415.87,5520.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041254KWPFIBROCIMENTOKITS,kits,6679.79,8349.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041254KWPMINITRILHOKITS,kits,9087.78,11359.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPCERAMICOKITSHIBRIDOS,kits,3146.90,3933.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPFIBROCIMENTOKITSHIBRIDOS,kits,5678.11,7097.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPMINITRILHOKITSHIBRIDOS,kits,5670.18,7087.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021136KWPCERAMICOKITS,kits,8312.57,10390.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021136KWPFIBROCIMENTOKITS,kits,8397.04,10495.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021136KWPMINITRILHOKITS,kits,6058.32,7573.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP031136KWPCERAMICOKITS,kits,7451.77,9314.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP031136KWPFIBROCIMENTOKITS,kits,4110.79,5138.49,28,-3,25,20,11,neutro,b2c,0,Não,high,0,0,0,0,0,0
FOTUSKP031136KWPMINITRILHOKITS,kits,9238.31,11548.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021065KWPCERAMICOKITS,kits,9035.33,11293.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021065KWPFIBROCIMENTOKITS,kits,697.41,872.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP021065KWPMINITRILHOKITS,kits,6557.72,8196.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041026KWPCERAMICOKITS,kits,4575.44,5718.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041026KWPFIBROCIMENTOKITS,kits,783.78,979.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP041026KWPMINITRILHOKITS,kits,168.47,210.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPCERAMICOKITSHIBRIDOS,kits,8164.95,10205.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPFIBROCIMENTOKITSHIBRIDOS,kits,9355.07,11694.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04840KWPMINITRILHOKITSHIBRIDOS,kits,6167.10,7709.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02994KWPCERAMICOKITS,kits,3620.00,4525.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02994KWPFIBROCIMENTOKITS,kits,9449.34,11811.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02994KWPMINITRILHOKITS,kits,2119.35,2648.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03994KWPCERAMICOKITS,kits,4585.42,5732.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03994KWPFIBROCIMENTOKITS,kits,3669.57,4587.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP03994KWPMINITRILHOKITS,kits,2040.76,2551.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04969KWPCERAMICOKITS,kits,9439.98,11800.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04969KWPFIBROCIMENTOKITS,kits,7529.24,9411.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04969KWPMINITRILHOKITS,kits,6272.47,7840.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02960KWPCERAMICOKITS,kits,4485.84,5606.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02960KWPFIBROCIMENTOKITS,kits,3078.14,3847.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP02960KWPMINITRILHOKITS,kits,1520.59,1900.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPCERAMICOKITS,kits,6502.38,8128.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPFIBROCIMENTOKITS,kits,3904.94,4880.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04960KWPMINITRILHOKITS,kits,4361.74,5451.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04912KWPCERAMICOKITS,kits,1374.81,1718.95,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04912KWPFIBROCIMENTOKITS,kits,8700.27,10874.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04912KWPMINITRILHOKITS,kits,5830.37,7288.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPCERAMICOKITSHIBRIDOS,kits,6522.43,8152.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPFIBROCIMENTOKITSHIBRIDOS,kits,1301.63,1626.99,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
FOTUSKP04720KWPMINITRILHOKITSHIBRIDOS,kits,1439.19,1799.00,28,-3,25,20,11,neutro,b2c,0,Sim,high,0,0,0,0,0,0
