SKU,Título,Preço,Categoria,URL
"solfacil-0","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-1","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-2","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-3","Produtos avulsos Novidade!","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-4","Produtos avulsos Novidade!","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-7","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/orders"
"solfacil-8","Meus Pedidos","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-9","Meus Orçamentos","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-10","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-11","Monte seu kit","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-12","Produtos avulsos Novidade!","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-13","Produtos avulsos Novidade!","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-16","Portal do integrador","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-17","Portal do integrador","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-22","Financiamento","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-23","Financiamento","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-28","Acordo Operacional","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-29","Acordo Operacional","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-31","Portal do integrador","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-32","Portal do integrador","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-37","Financiamento","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-38","Financiamento","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-43","Fale com a Central do Parceiro","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-44","Fale com a Central do Parceiro","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-46","Central de Ajuda","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-47","Central de Ajuda","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-49","Meus chamados","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-50","Meus chamados","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-52","Termos e Condições","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-53","Termos e Condições","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-55","Sair da minha conta","R$ 0.00","outros","https://loja.solfacil.com.br/"
"solfacil-56","Sair da minha conta","R$ 0.00","outros","https://loja.solfacil.com.br/"
