sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"FOTUSKP021704KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg|FOTUS-KP02-1704kWp-Ceramico-kits.jpg","imgs-index",100,6654.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP021704KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg","imgs-index",100,5286,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP021704KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","imgs-index",100,11312.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041596KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg|FOTUS-KP04-1596kWp-Ceramico-kits.jpg","imgs-index",100,4377.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP041596KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg","imgs-index",100,7645.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP041596KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg","imgs-index",100,3516,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041482KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg|FOTUS-KP04-1482kWp-Ceramico-kits.jpg","imgs-index",100,5082,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg|[object Object]"
"FOTUSKP041482KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg","imgs-index",100,1001.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg|[object Object]"
"FOTUSKP041482KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg","imgs-index",100,9748.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg|[object Object]"
"FOTUSKP041368KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg|FOTUS-KP04-1368kWp-Ceramico-kits.jpg","imgs-index",100,12415.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg|[object Object]"
