sku,primary_image,all_images,source,score,price_brl,gross_margin_percent,weight_kg,candidate_urls
"NEOSOLARCABLES25205","https://cdn.yellosolarhub.com/products/cabos/neosolar_cables_25205.jpg","https://cdn.yellosolarhub.com/products/cabos/neosolar_cables_25205.jpg|neosolar_cables_25205.jpg","imgs-index",100,12595.95,20,0,"https://cdn.yellosolarhub.com/products/cabos/neosolar_cables_25205.jpg|[object Object]"
"FOTUSKP04600KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-600kWp-Ceramico-kits-hibridos.jpg","imgs-index",100,12587.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-600kWp-Ceramico-kits-hibridos.jpg|[object Object]"
"IIN00235","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00235.png","https://cdn.yellosolarhub.com/products/FORTLEV/IIN00235.png|IIN00235.png","imgs-index",100,12587,20,0,"https://cdn.yellosolarhub.com/products/FORTLEV/IIN00235.png|[object Object]"
"292421","https://cdn.yellosolarhub.com/products/inversores/292421.jpg","https://cdn.yellosolarhub.com/products/inversores/292421.jpg|292421.jpg","imgs-index",100,12566.95,20,0,"https://cdn.yellosolarhub.com/products/inversores/292421.jpg|[object Object]"
"SKU28798928798917459120523305528","https://cdn.yellosolarhub.com/products/paineis/sku_287989_287989-17459120523305528.jpeg","https://cdn.yellosolarhub.com/products/paineis/sku_287989_287989-17459120523305528.jpeg|sku_287989_287989-17459120523305528.jpeg","imgs-index",100,12535.99,20,0,"https://cdn.yellosolarhub.com/products/paineis/sku_287989_287989-17459120523305528.jpeg|[object Object]"
"NEOSOLARCHARGERS23762","https://cdn.yellosolarhub.com/products/carregadores/neosolar_chargers_23762.jpg","https://cdn.yellosolarhub.com/products/carregadores/neosolar_chargers_23762.jpg|neosolar_chargers_23762.jpg","imgs-index",100,12516.49,20,0,"https://cdn.yellosolarhub.com/products/carregadores/neosolar_chargers_23762.jpg|[object Object]"
"NEOSOLARINVERTERS27162","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27162.jpg","https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27162.jpg|NEOSOLAR_INVERTERS_27162.jpg","imgs-index",100,12509.99,20,0,"https://cdn.yellosolarhub.com/products/inversores/NEOSOLAR_INVERTERS_27162.jpg|[object Object]"
"IEF00131","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00131.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00131.png|IEF00131.png","imgs-index",100,12501.49,20,0,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00131.png|[object Object]"
"NEOSOLARSTATIONS25205","https://cdn.yellosolarhub.com/products/estacoes/NEOSOLAR_STATIONS_25205.jpg","https://cdn.yellosolarhub.com/products/estacoes/NEOSOLAR_STATIONS_25205.jpg|NEOSOLAR_STATIONS_25205.jpg","imgs-index",100,12500.95,20,0,"https://cdn.yellosolarhub.com/products/estacoes/NEOSOLAR_STATIONS_25205.jpg|[object Object]"
"NEOSOLARKITS26722","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26722.jpg","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26722.jpg|neosolar_kits_26722.jpg","imgs-index",100,12493.95,20,0,"https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26722.jpg|[object Object]"
"ODEXODEXINVSAJ3000W","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SAJ-3000W.jpg","https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SAJ-3000W.jpg|ODEX-ODEX-INV-SAJ-3000W.jpg","imgs-index",100,12493,20,0,"https://cdn.yellosolarhub.com/products/inversores/ODEX-ODEX-INV-SAJ-3000W.jpg|[object Object]"
"NEOSOLARKITS26701","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26701.jpg","https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26701.jpg|neosolar_kits_26701.jpg","imgs-index",100,12463,20,0,"https://cdn.yellosolarhub.com/products/kits/neosolar_kits_26701.jpg|[object Object]"
"276954","https://cdn.yellosolarhub.com/products/inversores/276954.jpg","https://cdn.yellosolarhub.com/products/inversores/276954.jpg|276954.jpg","imgs-index",100,12461.95,20,0,"https://cdn.yellosolarhub.com/products/inversores/276954.jpg|[object Object]"
"FOTUSKP04342KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-Fibrocimento-kits.jpg|FOTUS-KP04-342kWp-Fibrocimento-kits.jpg","imgs-index",100,12454.99,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-342kWp-Fibrocimento-kits.jpg|[object Object]"
"IEF00023","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00023.png","https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00023.png|IEF00023.png","imgs-index",100,12440,20,0,"https://cdn.yellosolarhub.com/products/UNKNOWN-MANUFACTURER/IEF00023.png|[object Object]"
"FOTUSKP02840KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-Ceramico-kits.jpg|FOTUS-KP02-840kWp-Ceramico-kits.jpg","imgs-index",100,12433.95,20,0,"https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-840kWp-Ceramico-kits.jpg|[object Object]"
