sku,primary_image,all_images,source,score
"FOTUSKP021704KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Ceramico-kits.jpg|FOTUS-KP02-1704kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP021704KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1704kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP021704KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1704kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041596KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Ceramico-kits.jpg|FOTUS-KP04-1596kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041596KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1596kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041596KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1596kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041482KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Ceramico-kits.jpg|FOTUS-KP04-1482kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041482KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1482kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041482KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1482kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041368KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Ceramico-kits.jpg|FOTUS-KP04-1368kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041368KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1368kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041368KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1368kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041311KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Ceramico-kits.jpg|FOTUS-KP04-1311kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041311KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1311kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041311KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1311kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP021278KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Ceramico-kits.jpg|FOTUS-KP02-1278kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP021278KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1278kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP021278KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1278kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041254KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Ceramico-kits.jpg|FOTUS-KP04-1254kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041254KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1254kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041254KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1254kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04960KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-960kWp-Ceramico-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04960KWPFIBROCIMENTOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Fibrocimento-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-Fibrocimento-kits-hibridos.jpg|FOTUS-KP04-960kWp-Fibrocimento-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04960KWPMINITRILHOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-MiniTrilho-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-960kWp-MiniTrilho-kits-hibridos.jpg|FOTUS-KP04-960kWp-MiniTrilho-kits-hibridos.jpg","imgs-index",100
"FOTUSKP021136KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-Ceramico-kits.jpg|FOTUS-KP02-1136kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP021136KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1136kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP021136KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1136kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1136kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP031136KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-Ceramico-kits.jpg|FOTUS-KP03-1136kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP031136KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-Fibrocimento-kits.jpg|FOTUS-KP03-1136kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP031136KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP03-1136kWp-MiniTrilho-kits.jpg|FOTUS-KP03-1136kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP021065KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Ceramico-kits.jpg|FOTUS-KP02-1065kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP021065KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg|FOTUS-KP02-1065kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP021065KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg|FOTUS-KP02-1065kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP041026KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Ceramico-kits.jpg|FOTUS-KP04-1026kWp-Ceramico-kits.jpg","imgs-index",100
"FOTUSKP041026KWPFIBROCIMENTOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg|FOTUS-KP04-1026kWp-Fibrocimento-kits.jpg","imgs-index",100
"FOTUSKP041026KWPMINITRILHOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg|FOTUS-KP04-1026kWp-MiniTrilho-kits.jpg","imgs-index",100
"FOTUSKP04840KWPCERAMICOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg|FOTUS-KP04-840kWp-Ceramico-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04840KWPFIBROCIMENTOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg|FOTUS-KP04-840kWp-Fibrocimento-kits-hibridos.jpg","imgs-index",100
"FOTUSKP04840KWPMINITRILHOKITSHIBRIDOS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg|FOTUS-KP04-840kWp-MiniTrilho-kits-hibridos.jpg","imgs-index",100
"FOTUSKP02994KWPCERAMICOKITS","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg","https://cdn.yellosolarhub.com/products/kits/FOTUS-KP02-994kWp-Ceramico-kits.jpg|FOTUS-KP02-994kWp-Ceramico-kits.jpg","imgs-index",100
